analytic_commander_id,commander_name,canonical_wikipedia_url,rank_hierarchical_trust_v2,score_hierarchical_trust_v2,tier_key,tier_label,tier_sort,tier_reason,stability_score,stability_category,known_outcome_count,known_outcome_share,higher_level_share,page_type_profile_class,feature_quality_flags
acmd_d53c51d2e48c,Maharaja Ranjit Singh,https://en.wikipedia.org/wiki/Ranjit_Singh,22.0,82.12089971883786,tier_b_elite_model_sensitive,"Tier B, elite but model-sensitive",2,"High trust-first rank with meaningful support, but exact placement is sensitive to model assumptions or evidence mix.",60.737713,moderately_stable,9,0.818182,0.1160220994475137,battle_dominant,
acmd_7ece542ce56e,Winfield Scott,https://en.wikipedia.org/wiki/Winfield_Scott,24.0,81.72352389878164,tier_b_elite_model_sensitive,"Tier B, elite but model-sensitive",2,"High trust-first rank with meaningful support, but exact placement is sensitive to model assumptions or evidence mix.",67.169735,moderately_stable,8,0.666667,0.1489361702127659,battle_dominant,
acmd_9532eb3afefd,Enver Pasha,https://en.wikipedia.org/wiki/Enver_Pasha,26.0,81.10777881911903,tier_b_elite_model_sensitive,"Tier B, elite but model-sensitive",2,"High trust-first rank with meaningful support, but exact placement is sensitive to model assumptions or evidence mix.",64.625312,moderately_stable,9,0.642857,0.2417061611374407,battle_dominant,
acmd_041804c2e06c,Peng Dehuai,https://en.wikipedia.org/wiki/Peng_Dehuai,28.0,80.7535145267104,tier_b_elite_model_sensitive,"Tier B, elite but model-sensitive",2,"High trust-first rank with meaningful support, but exact placement is sensitive to model assumptions or evidence mix.",63.60362,moderately_stable,8,0.615385,0.0946502057613168,battle_dominant,
acmd_94390629dbd3,Frederick the Great,https://en.wikipedia.org/wiki/Frederick_the_Great,29.0,80.29334582942832,tier_b_elite_model_sensitive,"Tier B, elite but model-sensitive",2,"High trust-first rank with meaningful support, but exact placement is sensitive to model assumptions or evidence mix.",62.578364,moderately_stable,24,0.923077,0.0769230769230769,battle_dominant,
acmd_728cd65a1773,Heinz Guderian,https://en.wikipedia.org/wiki/Heinz_Guderian,30.0,80.22961574507967,tier_b_elite_model_sensitive,"Tier B, elite but model-sensitive",2,"High trust-first rank with meaningful support, but exact placement is sensitive to model assumptions or evidence mix.",76.050947,stable,11,0.846154,0.0,battle_dominant,
acmd_e57884ddb832,Charles-Pierre Augereau,https://en.wikipedia.org/wiki/Charles-Pierre_Augereau,31.0,80.22961574507967,tier_b_elite_model_sensitive,"Tier B, elite but model-sensitive",2,"High trust-first rank with meaningful support, but exact placement is sensitive to model assumptions or evidence mix.",64.30529,moderately_stable,26,0.896552,0.0679611650485436,battle_dominant,
acmd_882696f48db2,Hari Singh Nalwa,https://en.wikipedia.org/wiki/Hari_Singh_Nalwa,33.0,79.99812558575447,tier_b_elite_model_sensitive,"Tier B, elite but model-sensitive",2,"High trust-first rank with meaningful support, but exact placement is sensitive to model assumptions or evidence mix.",69.571963,stable,10,0.909091,0.0338164251207729,battle_dominant,
acmd_c82d0737a6d5,Ögedei Khan,https://en.wikipedia.org/wiki/%C3%96gedei_Khan,35.0,79.54732895970011,tier_b_elite_model_sensitive,"Tier B, elite but model-sensitive",2,"High trust-first rank with meaningful support, but exact placement is sensitive to model assumptions or evidence mix.",59.913477,moderately_stable,12,1.0,0.1044776119402984,battle_dominant,
acmd_44036d145325,Georgy Zhukov,https://en.wikipedia.org/wiki/Georgy_Zhukov,39.0,79.34020618556703,tier_b_elite_model_sensitive,"Tier B, elite but model-sensitive",2,"High trust-first rank with meaningful support, but exact placement is sensitive to model assumptions or evidence mix.",56.280648,moderately_stable,23,0.958333,0.247787610619469,battle_dominant,
acmd_d687b502db52,Mikhail Kutuzov,https://en.wikipedia.org/wiki/Mikhail_Kutuzov,40.0,79.11246485473292,tier_b_elite_model_sensitive,"Tier B, elite but model-sensitive",2,"High trust-first rank with meaningful support, but exact placement is sensitive to model assumptions or evidence mix.",65.807947,moderately_stable,9,0.692308,0.0598290598290598,battle_dominant,
acmd_dbaafbd66e5b,Charles XII of Sweden,https://en.wikipedia.org/wiki/Charles_XII_of_Sweden,42.0,79.06466729147141,tier_b_elite_model_sensitive,"Tier B, elite but model-sensitive",2,"High trust-first rank with meaningful support, but exact placement is sensitive to model assumptions or evidence mix.",67.942014,moderately_stable,21,0.954545,0.0163934426229508,battle_dominant,
acmd_172afb0cb776,Fyodor Tolbukhin,https://en.wikipedia.org/wiki/Fyodor_Tolbukhin,43.0,79.01686972820991,tier_b_elite_model_sensitive,"Tier B, elite but model-sensitive",2,"High trust-first rank with meaningful support, but exact placement is sensitive to model assumptions or evidence mix.",59.503488,moderately_stable,11,0.846154,0.5614035087719298,battle_dominant,
acmd_b0bb8531c63e,Nikolai Vatutin,https://en.wikipedia.org/wiki/Nikolai_Vatutin,44.0,78.97563261480786,tier_b_elite_model_sensitive,"Tier B, elite but model-sensitive",2,"High trust-first rank with meaningful support, but exact placement is sensitive to model assumptions or evidence mix.",59.001016,moderately_stable,12,0.923077,0.3333333333333333,battle_dominant,
acmd_542b4086f360,Mustafa Kemal Atatürk,https://en.wikipedia.org/wiki/Mustafa_Kemal_Atat%C3%BCrk,46.0,78.66073102155575,tier_b_elite_model_sensitive,"Tier B, elite but model-sensitive",2,"High trust-first rank with meaningful support, but exact placement is sensitive to model assumptions or evidence mix.",64.527115,moderately_stable,22,0.785714,0.1044776119402985,battle_dominant,
acmd_be0dead43626,Peter Wittgenstein,https://en.wikipedia.org/wiki/Peter_Wittgenstein,48.0,78.55576382380507,tier_b_elite_model_sensitive,"Tier B, elite but model-sensitive",2,"High trust-first rank with meaningful support, but exact placement is sensitive to model assumptions or evidence mix.",65.637274,moderately_stable,14,0.875,0.022801302931596,battle_dominant,
acmd_4553085c23c9,Fedor von Bock,https://en.wikipedia.org/wiki/Fedor_von_Bock,50.0,78.41705716963448,tier_b_elite_model_sensitive,"Tier B, elite but model-sensitive",2,"High trust-first rank with meaningful support, but exact placement is sensitive to model assumptions or evidence mix.",72.182057,stable,13,0.722222,0.2352941176470588,battle_dominant,
acmd_8cc431cd8376,Dwight D. Eisenhower,https://en.wikipedia.org/wiki/Dwight_D._Eisenhower,36.0,79.46110590440486,tier_c_high_performer_evidence_caveats,"Tier C, high performer with evidence caveats",3,"Top-100 trust-first placement, but the case needs caveats around evidence volume, model stability, or page-type dependence.",49.63108,model_sensitive,9,0.692308,0.5433789954337899,battle_dominant,
acmd_0cf8151e7cf9,Rodion Malinovsky,https://en.wikipedia.org/wiki/Rodion_Malinovsky,45.0,78.86035613870665,tier_c_high_performer_evidence_caveats,"Tier C, high performer with evidence caveats",3,"Top-100 trust-first placement, but the case needs caveats around evidence volume, model stability, or page-type dependence.",50.260088,model_sensitive,13,0.8125,0.4265232974910394,battle_dominant,
acmd_b7e856700f22,Konstantin Rokossovsky,https://en.wikipedia.org/wiki/Konstantin_Rokossovsky,47.0,78.61855670103094,tier_c_high_performer_evidence_caveats,"Tier C, high performer with evidence caveats",3,"Top-100 trust-first placement, but the case needs caveats around evidence volume, model stability, or page-type dependence.",50.23959,model_sensitive,17,1.0,0.358974358974359,battle_dominant,
acmd_8ff67c26331f,Jean Victor Marie Moreau,https://en.wikipedia.org/wiki/Jean_Victor_Marie_Moreau,51.0,78.28022492970948,tier_c_high_performer_evidence_caveats,"Tier C, high performer with evidence caveats",3,"Top-100 trust-first placement, but the case needs caveats around evidence volume, model stability, or page-type dependence.",71.442132,stable,21,0.954545,0.0,battle_dominant,
acmd_59f41bf60d8d,Ōyama Iwao,https://en.wikipedia.org/wiki/%C5%8Cyama_Iwao,52.0,78.18931583880037,tier_c_high_performer_evidence_caveats,"Tier C, high performer with evidence caveats",3,"Top-100 trust-first placement, but the case needs caveats around evidence volume, model stability, or page-type dependence.",69.642393,stable,9,0.9,0.0804597701149425,battle_dominant,
acmd_632d6e1b916a,Amr ibn al-As,https://en.wikipedia.org/wiki/Amr_ibn_al-As,53.0,78.00281162136832,tier_c_high_performer_evidence_caveats,"Tier C, high performer with evidence caveats",3,"Top-100 trust-first placement, but the case needs caveats around evidence volume, model stability, or page-type dependence.",75.589711,stable,10,0.833333,0.0,battle_dominant,
acmd_9acc0b2c5ac1,Walter Krueger,https://en.wikipedia.org/wiki/Walter_Krueger,56.0,77.98031865042176,tier_c_high_performer_evidence_caveats,"Tier C, high performer with evidence caveats",3,"Top-100 trust-first placement, but the case needs caveats around evidence volume, model stability, or page-type dependence.",70.672375,stable,12,1.0,0.2105263157894737,battle_dominant,
acmd_ccc95a8b031b,Oliver Cromwell,https://en.wikipedia.org/wiki/Oliver_Cromwell,57.0,77.86504217432054,tier_c_high_performer_evidence_caveats,"Tier C, high performer with evidence caveats",3,"Top-100 trust-first placement, but the case needs caveats around evidence volume, model stability, or page-type dependence.",71.229522,stable,6,0.315789,0.0853658536585365,battle_dominant,
acmd_73305bd7a7e8,Aleksandr Vasilevsky,https://en.wikipedia.org/wiki/Aleksandr_Vasilevsky,59.0,77.25679475164013,tier_c_high_performer_evidence_caveats,"Tier C, high performer with evidence caveats",3,"Top-100 trust-first placement, but the case needs caveats around evidence volume, model stability, or page-type dependence.",51.314008,model_sensitive,9,1.0,0.4701986754966888,battle_dominant,
acmd_f3435c4f05ec,Claude-Victor Perrin,https://en.wikipedia.org/wiki/Claude-Victor_Perrin,61.0,77.14339268978445,tier_c_high_performer_evidence_caveats,"Tier C, high performer with evidence caveats",3,"Top-100 trust-first placement, but the case needs caveats around evidence volume, model stability, or page-type dependence.",50.295696,model_sensitive,22,0.785714,0.0262172284644194,battle_dominant,
acmd_8a9267fb6cd4,John III Sobieski,https://en.wikipedia.org/wiki/John_III_Sobieski,64.0,77.01312089971884,tier_c_high_performer_evidence_caveats,"Tier C, high performer with evidence caveats",3,"Top-100 trust-first placement, but the case needs caveats around evidence volume, model stability, or page-type dependence.",69.838518,stable,10,0.909091,0.0338164251207729,battle_dominant,
acmd_6801fcdfc85b,Sayenqueraghta,https://en.wikipedia.org/wiki/Sayenqueraghta,65.0,76.91752577319589,tier_c_high_performer_evidence_caveats,"Tier C, high performer with evidence caveats",3,"Top-100 trust-first placement, but the case needs caveats around evidence volume, model stability, or page-type dependence.",60.278277,moderately_stable,9,1.0,0.0909090909090909,battle_dominant,
acmd_6098828ef6a4,Petar Bojović,https://en.wikipedia.org/wiki/Petar_Bojovi%C4%87,66.0,76.91181818181818,tier_c_high_performer_evidence_caveats,"Tier C, high performer with evidence caveats",3,"Top-100 trust-first placement, but the case needs caveats around evidence volume, model stability, or page-type dependence.",55.991552,moderately_stable,7,0.777778,0.4366197183098592,battle_dominant,
acmd_3435325eb9b0,George S. Patton,https://en.wikipedia.org/wiki/George_S._Patton,67.0,76.86129334582941,tier_c_high_performer_evidence_caveats,"Tier C, high performer with evidence caveats",3,"Top-100 trust-first placement, but the case needs caveats around evidence volume, model stability, or page-type dependence.",51.486939,model_sensitive,10,0.909091,0.4,battle_dominant,
acmd_9b46a317ac31,Ahmad Shah Durrani,https://en.wikipedia.org/wiki/Ahmad_Shah_Durrani,68.0,76.76194939081537,tier_c_high_performer_evidence_caveats,"Tier C, high performer with evidence caveats",3,"Top-100 trust-first placement, but the case needs caveats around evidence volume, model stability, or page-type dependence.",64.514479,moderately_stable,9,0.9,0.0374331550802139,battle_dominant,
acmd_cbe4494bd0e0,"François-Henri de Montmorency, duc de Luxembourg",https://en.wikipedia.org/wiki/Fran%C3%A7ois-Henri_de_Montmorency%2C_duc_de_Luxembourg,69.0,76.60168697282099,tier_c_high_performer_evidence_caveats,"Tier C, high performer with evidence caveats",3,"Top-100 trust-first placement, but the case needs caveats around evidence volume, model stability, or page-type dependence.",71.017873,stable,7,0.538462,0.0950226244343891,battle_dominant,
acmd_ed738e8e2d78,Ernst Gideon von Laudon,https://en.wikipedia.org/wiki/Ernst_Gideon_von_Laudon,70.0,76.56982193064667,tier_c_high_performer_evidence_caveats,"Tier C, high performer with evidence caveats",3,"Top-100 trust-first placement, but the case needs caveats around evidence volume, model stability, or page-type dependence.",53.972544,moderately_stable,11,0.916667,0.1044776119402984,battle_dominant,
acmd_a33c5f70ac13,Živojin Mišić,https://en.wikipedia.org/wiki/%C5%BDivojin_Mi%C5%A1i%C4%87,71.0,76.51545454545455,tier_c_high_performer_evidence_caveats,"Tier C, high performer with evidence caveats",3,"Top-100 trust-first placement, but the case needs caveats around evidence volume, model stability, or page-type dependence.",55.478567,moderately_stable,7,0.777778,0.3548387096774194,battle_dominant,
acmd_f0aba2fd984a,Kirill Meretskov,https://en.wikipedia.org/wiki/Kirill_Meretskov,72.0,76.47235238987817,tier_c_high_performer_evidence_caveats,"Tier C, high performer with evidence caveats",3,"Top-100 trust-first placement, but the case needs caveats around evidence volume, model stability, or page-type dependence.",48.568651,model_sensitive,10,0.769231,0.6116504854368933,battle_dominant,
acmd_38a594d34cab,"Édouard Mortier, Duke of Treviso",https://en.wikipedia.org/wiki/%C3%89douard_Mortier%2C_Duke_of_Treviso,73.0,76.4208059981256,tier_c_high_performer_evidence_caveats,"Tier C, high performer with evidence caveats",3,"Top-100 trust-first placement, but the case needs caveats around evidence volume, model stability, or page-type dependence.",58.426664,moderately_stable,18,0.818182,0.0721649484536082,battle_dominant,
acmd_231817819511,Nader Shah,https://en.wikipedia.org/wiki/Nader_Shah,74.0,76.33833177132148,tier_c_high_performer_evidence_caveats,"Tier C, high performer with evidence caveats",3,"Top-100 trust-first placement, but the case needs caveats around evidence volume, model stability, or page-type dependence.",58.998367,moderately_stable,16,0.8,0.0581717451523545,battle_dominant,
acmd_ad691790bfae,Ferdinand Foch,https://en.wikipedia.org/wiki/Ferdinand_Foch,75.0,76.3045923149016,tier_c_high_performer_evidence_caveats,"Tier C, high performer with evidence caveats",3,"Top-100 trust-first placement, but the case needs caveats around evidence volume, model stability, or page-type dependence.",66.109561,moderately_stable,15,0.789474,0.0425531914893617,battle_dominant,
acmd_7fb0d9d2735e,Ivan Konev,https://en.wikipedia.org/wiki/Ivan_Konev,76.0,75.9597000937207,tier_c_high_performer_evidence_caveats,"Tier C, high performer with evidence caveats",3,"Top-100 trust-first placement, but the case needs caveats around evidence volume, model stability, or page-type dependence.",56.356919,moderately_stable,17,0.809524,0.2,battle_dominant,
acmd_a318dc1eb6ce,Michel Ney,https://en.wikipedia.org/wiki/Michel_Ney,78.0,75.65979381443299,tier_c_high_performer_evidence_caveats,"Tier C, high performer with evidence caveats",3,"Top-100 trust-first placement, but the case needs caveats around evidence volume, model stability, or page-type dependence.",49.376395,model_sensitive,32,0.761905,0.0355329949238578,battle_dominant,
acmd_6708954ecbb0,Jan Karol Chodkiewicz,https://en.wikipedia.org/wiki/Jan_Karol_Chodkiewicz,79.0,75.50609184629803,tier_c_high_performer_evidence_caveats,"Tier C, high performer with evidence caveats",3,"Top-100 trust-first placement, but the case needs caveats around evidence volume, model stability, or page-type dependence.",66.40422,moderately_stable,10,0.833333,0.0,battle_dominant,
acmd_92915a68e51e,Jassa Singh Ahluwalia,https://en.wikipedia.org/wiki/Jassa_Singh_Ahluwalia,80.0,75.39737582005624,tier_c_high_performer_evidence_caveats,"Tier C, high performer with evidence caveats",3,"Top-100 trust-first placement, but the case needs caveats around evidence volume, model stability, or page-type dependence.",65.120403,moderately_stable,8,0.727273,0.0338164251207729,battle_dominant,
acmd_88665d708ff0,Bertrand du Guesclin,https://en.wikipedia.org/wiki/Bertrand_du_Guesclin,81.0,75.2427366447985,tier_c_high_performer_evidence_caveats,"Tier C, high performer with evidence caveats",3,"Top-100 trust-first placement, but the case needs caveats around evidence volume, model stability, or page-type dependence.",62.250241,moderately_stable,9,0.9,0.0804597701149425,battle_dominant,
acmd_d1625dd6e2c5,Joseph Stalin,https://en.wikipedia.org/wiki/Joseph_Stalin,82.0,75.19868791002811,tier_c_high_performer_evidence_caveats,"Tier C, high performer with evidence caveats",3,"Top-100 trust-first placement, but the case needs caveats around evidence volume, model stability, or page-type dependence.",44.648126,model_sensitive,10,0.588235,0.5798319327731093,battle_dominant,
acmd_e98a8506dc92,Ivan Bagramyan,https://en.wikipedia.org/wiki/Ivan_Bagramyan,85.0,74.87535145267104,tier_c_high_performer_evidence_caveats,"Tier C, high performer with evidence caveats",3,"Top-100 trust-first placement, but the case needs caveats around evidence volume, model stability, or page-type dependence.",50.568745,model_sensitive,10,0.909091,0.5833333333333334,battle_dominant,
acmd_47cd11aab7f1,Gustavus Adolphus,https://en.wikipedia.org/wiki/Gustavus_Adolphus,86.0,74.7572633552015,tier_c_high_performer_evidence_caveats,"Tier C, high performer with evidence caveats",3,"Top-100 trust-first placement, but the case needs caveats around evidence volume, model stability, or page-type dependence.",60.502496,moderately_stable,12,0.6,0.0804597701149425,battle_dominant,
acmd_64e8acafffef,Carl Gustaf Wrangel,https://en.wikipedia.org/wiki/Carl_Gustaf_Wrangel,87.0,74.70384254920339,tier_c_high_performer_evidence_caveats,"Tier C, high performer with evidence caveats",3,"Top-100 trust-first placement, but the case needs caveats around evidence volume, model stability, or page-type dependence.",65.061539,moderately_stable,8,0.8,0.0374331550802139,battle_dominant,
acmd_dc8ad03ef21e,Michiel de Ruyter,https://en.wikipedia.org/wiki/Michiel_de_Ruyter,88.0,74.53889409559511,tier_c_high_performer_evidence_caveats,"Tier C, high performer with evidence caveats",3,"Top-100 trust-first placement, but the case needs caveats around evidence volume, model stability, or page-type dependence.",59.540249,moderately_stable,11,0.733333,0.1489361702127659,battle_dominant,
acmd_fc2e14f0b93d,Prince Rupert of the Rhine,https://en.wikipedia.org/wiki/Prince_Rupert_of_the_Rhine,89.0,74.41049671977505,tier_c_high_performer_evidence_caveats,"Tier C, high performer with evidence caveats",3,"Top-100 trust-first placement, but the case needs caveats around evidence volume, model stability, or page-type dependence.",53.506669,moderately_stable,15,0.535714,0.0871369294605809,battle_dominant,
acmd_e2d4eedc368b,Yamagata Aritomo,https://en.wikipedia.org/wiki/Yamagata_Aritomo,90.0,74.39727272727274,tier_c_high_performer_evidence_caveats,"Tier C, high performer with evidence caveats",3,"Top-100 trust-first placement, but the case needs caveats around evidence volume, model stability, or page-type dependence.",55.74675,moderately_stable,6,0.666667,0.1489361702127659,battle_dominant,
acmd_0a61bdf63c60,Laurent de Gouvion Saint-Cyr,https://en.wikipedia.org/wiki/Laurent_de_Gouvion_Saint-Cyr,92.0,73.98031865042175,tier_c_high_performer_evidence_caveats,"Tier C, high performer with evidence caveats",3,"Top-100 trust-first placement, but the case needs caveats around evidence volume, model stability, or page-type dependence.",53.871633,moderately_stable,16,0.8,0.0374331550802139,battle_dominant,
acmd_71b395590bf1,Zubayr ibn al-Awwam,https://en.wikipedia.org/wiki/Zubayr_ibn_al-Awwam,93.0,73.69353327085287,tier_c_high_performer_evidence_caveats,"Tier C, high performer with evidence caveats",3,"Top-100 trust-first placement, but the case needs caveats around evidence volume, model stability, or page-type dependence.",57.129268,moderately_stable,8,0.8,0.0374331550802139,battle_dominant,
acmd_8d5eefbeaa73,Guru Gobind Singh,https://en.wikipedia.org/wiki/Guru_Gobind_Singh,94.0,73.630740393627,tier_c_high_performer_evidence_caveats,"Tier C, high performer with evidence caveats",3,"Top-100 trust-first placement, but the case needs caveats around evidence volume, model stability, or page-type dependence.",62.103098,moderately_stable,13,0.8125,0.0,battle_dominant,
acmd_eb09136d57ea,Lennart Torstensson,https://en.wikipedia.org/wiki/Lennart_Torstensson,96.0,73.61105904404874,tier_c_high_performer_evidence_caveats,"Tier C, high performer with evidence caveats",3,"Top-100 trust-first placement, but the case needs caveats around evidence volume, model stability, or page-type dependence.",64.629,moderately_stable,8,0.666667,0.0654205607476635,battle_dominant,
acmd_648481c38482,Honda Tadakatsu,https://en.wikipedia.org/wiki/Honda_Tadakatsu,97.0,73.56513589503281,tier_c_high_performer_evidence_caveats,"Tier C, high performer with evidence caveats",3,"Top-100 trust-first placement, but the case needs caveats around evidence volume, model stability, or page-type dependence.",60.085767,moderately_stable,9,0.9,0.0374331550802139,battle_dominant,
acmd_c44af5203737,François Joseph Lefebvre,https://en.wikipedia.org/wiki/Fran%C3%A7ois_Joseph_Lefebvre,98.0,73.4461105904405,tier_c_high_performer_evidence_caveats,"Tier C, high performer with evidence caveats",3,"Top-100 trust-first placement, but the case needs caveats around evidence volume, model stability, or page-type dependence.",49.743789,model_sensitive,11,0.846154,0.0598290598290598,battle_dominant,
acmd_e07beaf4ee37,"Louis, Grand Condé",https://en.wikipedia.org/wiki/Louis%2C_Grand_Cond%C3%A9,99.0,73.43205248359888,tier_c_high_performer_evidence_caveats,"Tier C, high performer with evidence caveats",3,"Top-100 trust-first placement, but the case needs caveats around evidence volume, model stability, or page-type dependence.",55.329579,moderately_stable,10,0.769231,0.0598290598290598,battle_dominant,
acmd_6204155930c2,Skanderbeg,https://en.wikipedia.org/wiki/Skanderbeg,100.0,73.26897844423618,tier_c_high_performer_evidence_caveats,"Tier C, high performer with evidence caveats",3,"Top-100 trust-first placement, but the case needs caveats around evidence volume, model stability, or page-type dependence.",65.339871,moderately_stable,10,0.588235,0.0445859872611464,battle_dominant,
acmd_fe8dcb104442,"Maurice, Prince of Orange",https://en.wikipedia.org/wiki/Maurice%2C_Prince_of_Orange,2.0,88.55014058106843,tier_d_strong_narrow_category,"Tier D, strong but narrow-category performer",4,"Strong record is concentrated in siege or engineering-style events, so it should be interpreted as category-specific rather than generic field-command dominance.",95.551613,very_stable,35,0.921053,0.0190735694822888,battle_dominant,
acmd_4eeecd36522d,"Sébastien Le Prestre, Marquis of Vauban",https://en.wikipedia.org/wiki/S%C3%A9bastien_Le_Prestre%2C_Marquis_of_Vauban,5.0,86.81443298969073,tier_d_strong_narrow_category,"Tier D, strong but narrow-category performer",4,"Strong record is concentrated in siege or engineering-style events, so it should be interpreted as category-specific rather than generic field-command dominance.",97.979972,very_stable,13,0.8125,0.0747330960854092,battle_dominant,
acmd_36041001b0b5,Louis XIV,https://en.wikipedia.org/wiki/Louis_XIV,11.0,85.58950328022492,tier_d_strong_narrow_category,"Tier D, strong but narrow-category performer",4,"Strong record is concentrated in siege or engineering-style events, so it should be interpreted as category-specific rather than generic field-command dominance.",81.547937,stable,11,0.733333,0.2344497607655502,battle_dominant,
acmd_b11217dd158b,Mehmed II,https://en.wikipedia.org/wiki/Mehmed_II,13.0,85.11152764761013,tier_d_strong_narrow_category,"Tier D, strong but narrow-category performer",4,"Strong record is concentrated in siege or engineering-style events, so it should be interpreted as category-specific rather than generic field-command dominance.",78.523702,stable,21,0.913043,0.0156599552572706,battle_dominant,
