display_name,canonical_wikipedia_url,battle_id,battle_name,page_type,side,page_result_raw,page_result_type,outcome_inference_method,outcome_inference_confidence
Ibrahim Pasha of Egypt,https://en.wikipedia.org/wiki/Ibrahim_Pasha_of_Egypt,battle_34026544,1838 Druze revolt,battle_article,side_a,Revolt suppressed,unknown,unknown,low
Andries Pretorius,https://en.wikipedia.org/wiki/Andries_Pretorius,battle_463610,Battle of Blood River,battle_article,side_a,Voortrekker victory,victory,unknown,low
Manuel Bulnes,https://en.wikipedia.org/wiki/Manuel_Bulnes,battle_49481660,Battle of Portada de Guías,battle_article,side_a,Chilean victory,victory,unknown,low
Antonio López de Santa Anna,https://en.wikipedia.org/wiki/Antonio_L%C3%B3pez_de_Santa_Anna,battle_63149,Pastry War,war_conflict_article,side_b,French victory,victory,unknown,low
Manuel Bulnes,https://en.wikipedia.org/wiki/Manuel_Bulnes,battle_2740681,Battle of Yungay,battle_article,side_a,Chilean–Peruvian restorationist victory Dissolution of the Peru–Bolivian Confederation,victory,unknown,low
Andrés de Santa Cruz,https://en.wikipedia.org/wiki/Andr%C3%A9s_de_Santa_Cruz,battle_2740681,Battle of Yungay,battle_article,side_b,Chilean–Peruvian restorationist victory Dissolution of the Peru–Bolivian Confederation,victory,unknown,low
Charles Elliot,https://en.wikipedia.org/wiki/Charles_Elliot,battle_143829,First Opium War,war_conflict_article,side_a,British victory,victory,unknown,low
Gordon Bremer,https://en.wikipedia.org/wiki/Gordon_Bremer,battle_143829,First Opium War,war_conflict_article,side_a,British victory,victory,unknown,low
Giuseppe Garibaldi,https://en.wikipedia.org/wiki/Giuseppe_Garibaldi,battle_8864219,Uruguayan Civil War,war_conflict_article,side_a,Victory,victory,unknown,low
Nguyễn Tri Phương,https://en.wikipedia.org/wiki/Nguy%E1%BB%85n_Tri_Ph%C6%B0%C6%A1ng,battle_61280555,Cambodian Uprising (1840–1841),battle_article,side_b,"Cambodian-Siamese victory, end of Vietnamese rule in Cambodia",victory,unknown,low
Giuseppe Garibaldi,https://en.wikipedia.org/wiki/Giuseppe_Garibaldi,battle_39189778,Great Siege of Montevideo,battle_article,side_b,The siege is relieved after the intervention of the Empire of Brazil and the Entre Ríos province of Argentina.,unknown,unknown,low
Imam Shamil,https://en.wikipedia.org/wiki/Imam_Shamil,battle_35645905,Battle of Dargo (1845),battle_article,side_a,Pyrrhic victory,pyrrhic_victory,unknown,low
Tej Singh,https://en.wikipedia.org/wiki/Tej_Singh,battle_3368874,Battle of Ferozeshah,battle_article,side_a,British victory,victory,unknown,low
Robert Sale,https://en.wikipedia.org/wiki/Robert_Sale,battle_3364924,Battle of Mudki,battle_article,side_b,Victory,victory,unknown,low
Ludwig von Benedek,https://en.wikipedia.org/wiki/Ludwig_von_Benedek,battle_525969,Kraków Uprising,battle_article,side_b,Uprising suppressed,unknown,unknown,low
Winfield Scott,https://en.wikipedia.org/wiki/Winfield_Scott,battle_21073732,Mexican–American War,war_conflict_article,side_a,Victory,victory,unknown,low
Jacob Brown,https://en.wikipedia.org/wiki/Jacob_Brown_(Texas_soldier),battle_21073732,Mexican–American War,war_conflict_article,side_a,Victory,victory,unknown,low
Sterling Price,https://en.wikipedia.org/wiki/Sterling_Price,battle_21073732,Mexican–American War,war_conflict_article,side_a,Victory,victory,unknown,low
Matthew C. Perry,https://en.wikipedia.org/wiki/Matthew_C._Perry,battle_21073732,Mexican–American War,war_conflict_article,side_a,Victory,victory,unknown,low
Antonio López de Santa Anna,https://en.wikipedia.org/wiki/Antonio_L%C3%B3pez_de_Santa_Anna,battle_21073732,Mexican–American War,war_conflict_article,side_b,Victory,victory,unknown,low
Martín Perfecto de Cos,https://en.wikipedia.org/wiki/Mart%C3%ADn_Perfecto_de_Cos,battle_21073732,Mexican–American War,war_conflict_article,side_b,Victory,victory,unknown,low
Tewodros II,https://en.wikipedia.org/wiki/Tewodros_II,battle_66607307,Battle of Dabarki,battle_article,side_a,Egyptian victory,victory,unknown,low
Charles Albert of Sardinia,https://en.wikipedia.org/wiki/Charles_Albert_of_Sardinia,battle_9786785,Battle of Goito,battle_article,side_a,Sardinian victory,victory,unknown,low
Ludwig von Wohlgemuth,https://en.wikipedia.org/wiki/Ludwig_von_Wohlgemuth,battle_70022511,Battle of Goito Bridge,battle_article,side_b,Piedmontese victory,victory,unknown,low
Charles Albert of Sardinia,https://en.wikipedia.org/wiki/Charles_Albert_of_Sardinia,battle_9786811,Skirmish of Pastrengo (1848),battle_article,side_a,Sardinian victory,victory,unknown,low
Nicholas I of Russia,https://en.wikipedia.org/wiki/Nicholas_I_of_Russia,battle_82259496,Russo–Kokand War,war_conflict_article,side_a,Victory,victory,unknown,low
Alexander II of Russia,https://en.wikipedia.org/wiki/Alexander_II_of_Russia,battle_82259496,Russo–Kokand War,war_conflict_article,side_a,Victory,victory,unknown,low
Manuel Bulnes,https://en.wikipedia.org/wiki/Manuel_Bulnes,battle_41541635,Battle of Loncomilla,battle_article,side_a,Government victory,victory,unknown,low
Dost Mohammad Khan,https://en.wikipedia.org/wiki/Dost_Mohammad_Khan,battle_5383061,Anglo-Persian War,war_conflict_article,side_a,British victory Treaty of Paris British withdrawal from Persia Persian withdrawal from Herat,victory,unknown,low
Charles Rigault de Genouilly,https://en.wikipedia.org/wiki/Charles_Rigault_de_Genouilly,battle_19515763,Siege of Tourane,battle_article,side_a,Vietnamese victory,victory,unknown,low
Nguyễn Tri Phương,https://en.wikipedia.org/wiki/Nguy%E1%BB%85n_Tri_Ph%C6%B0%C6%A1ng,battle_19515763,Siege of Tourane,battle_article,side_b,Vietnamese victory,victory,unknown,low
Napoleon III,https://en.wikipedia.org/wiki/Napoleon_III,battle_157656,Battle of Magenta,battle_article,side_a,Franco-Italian victory,victory,unknown,low
Patrice de MacMahon,https://en.wikipedia.org/wiki/Patrice_de_MacMahon,battle_157656,Battle of Magenta,battle_article,side_a,Franco-Italian victory,victory,unknown,low
Victor Emmanuel II,https://en.wikipedia.org/wiki/Victor_Emmanuel_II,battle_3940977,Battle of Palestro,battle_article,side_a,Franco-Sardinian victory,victory,unknown,low
Giuseppe Garibaldi,https://en.wikipedia.org/wiki/Giuseppe_Garibaldi,battle_44918657,Battle of San Fermo,battle_article,side_a,Sardinian victory,victory,unknown,low
Giuseppe Garibaldi,https://en.wikipedia.org/wiki/Giuseppe_Garibaldi,battle_2994821,Battle of Varese,battle_article,side_a,Sardinian victory,victory,unknown,low
Giuseppe Garibaldi,https://en.wikipedia.org/wiki/Giuseppe_Garibaldi,battle_21880529,Battle of Calatafimi,battle_article,side_a,Garibaldine victory Two Sicilies forces retreat Garibaldi takes Calatafimi,victory,unknown,low
Giuseppe Garibaldi,https://en.wikipedia.org/wiki/Giuseppe_Garibaldi,battle_18410199,Battle of Milazzo (1860),battle_article,side_a,Garibaldine victory,victory,unknown,low
Sengge Rinchen,https://en.wikipedia.org/wiki/Sengge_Rinchen,battle_16907152,Battle of Palikao,battle_article,side_b,Franco-British victory,victory,unknown,low
Giuseppe Garibaldi,https://en.wikipedia.org/wiki/Giuseppe_Garibaldi,battle_10927458,Battle of the Volturno,battle_article,side_a,Garibaldine victory,victory,unknown,low
Napoleon III,https://en.wikipedia.org/wiki/Napoleon_III,battle_147155,Second Opium War,war_conflict_article,side_a,Victory,victory,unknown,low
Charles Rigault de Genouilly,https://en.wikipedia.org/wiki/Charles_Rigault_de_Genouilly,battle_147155,Second Opium War,war_conflict_article,side_a,Victory,victory,unknown,low
Alexander II of Russia,https://en.wikipedia.org/wiki/Alexander_II_of_Russia,battle_147155,Second Opium War,war_conflict_article,side_a,Victory,victory,unknown,low
Sengge Rinchen,https://en.wikipedia.org/wiki/Sengge_Rinchen,battle_147155,Second Opium War,war_conflict_article,side_b,Victory,victory,unknown,low
Robert E. Lee,https://en.wikipedia.org/wiki/Robert_E._Lee,battle_863,American Civil War,war_conflict_article,side_b,Union victory,victory,unknown,low
John Pope,https://en.wikipedia.org/wiki/John_Pope_(naval_officer),battle_26933558,Battle of the Head of Passes,battle_article,side_a,Confederate States victory,victory,unknown,low
Robert E. Lee,https://en.wikipedia.org/wiki/Robert_E._Lee,battle_84849,Battle of Antietam,battle_article,side_b,Victory,victory,unknown,low
Giuseppe Garibaldi,https://en.wikipedia.org/wiki/Giuseppe_Garibaldi,battle_2176102,Battle of Aspromonte,battle_article,side_b,Regular army victory,victory,unknown,low
Robert E. Lee,https://en.wikipedia.org/wiki/Robert_E._Lee,battle_1348572,Battle of Beaver Dam Creek,battle_article,side_b,Victory,victory,unknown,low
John Pope,https://en.wikipedia.org/wiki/John_Pope_(general),battle_612097,Battle of Island Number Ten,battle_article,side_a,Union victory,victory,unknown,low
Sterling Price,https://en.wikipedia.org/wiki/Sterling_Price,battle_1965615,Battle of Iuka,battle_article,side_b,Union victory,victory,unknown,low
George Crook,https://en.wikipedia.org/wiki/George_Crook,battle_70822774,Battle of Lewisburg,battle_article,side_a,Union victory,victory,unknown,low
Robert E. Lee,https://en.wikipedia.org/wiki/Robert_E._Lee,battle_44812438,Battle of Malvern Hill,battle_article,side_b,Union victory,victory,unknown,low
Nathan Bedford Forrest,https://en.wikipedia.org/wiki/Nathan_Bedford_Forrest,battle_1615918,Battle of Parker's Cross Roads,battle_article,side_b,Confederate victory,victory,unknown,low
Franz Sigel,https://en.wikipedia.org/wiki/Franz_Sigel,battle_299387,Battle of Pea Ridge,battle_article,side_a,Union victory,victory,unknown,low
Sterling Price,https://en.wikipedia.org/wiki/Sterling_Price,battle_299387,Battle of Pea Ridge,battle_article,side_b,Union victory,victory,unknown,low
James G. Blunt,https://en.wikipedia.org/wiki/James_G._Blunt,battle_298699,Battle of Prairie Grove,battle_article,side_a,Union victory,victory,unknown,low
P. G. T. Beauregard,https://en.wikipedia.org/wiki/P._G._T._Beauregard,battle_144155,Battle of Shiloh,battle_article,side_b,Union victory,victory,unknown,low
Robert E. Lee,https://en.wikipedia.org/wiki/Robert_E._Lee,battle_540026,Battle of South Mountain,battle_article,side_b,Union victory,victory,unknown,low
Joseph Wheeler,https://en.wikipedia.org/wiki/Joseph_Wheeler,battle_375958,Battle of Stones River,battle_article,side_b,Union victory. Tactically Inconclusive,victory,unknown,low
Stonewall Jackson,https://en.wikipedia.org/wiki/Stonewall_Jackson,battle_1351334,First Battle of Kernstown,battle_article,side_b,Victory,victory,unknown,low
Robert E. Lee,https://en.wikipedia.org/wiki/Robert_E._Lee,battle_998780,Seven Days Battles,battle_article,side_b,Victory,victory,unknown,low
P. G. T. Beauregard,https://en.wikipedia.org/wiki/P._G._T._Beauregard,battle_1972613,Siege of Corinth,battle_article,side_b,Union victory,victory,unknown,low
James G. Blunt,https://en.wikipedia.org/wiki/James_G._Blunt,battle_38238681,Van Buren raid,battle_article,side_a,Union victory,victory,unknown,low
John Wynn Davidson,https://en.wikipedia.org/wiki/John_Wynn_Davidson,battle_609881,Battle of Bayou Fourche,battle_article,side_a,Union victory,victory,unknown,low
Joseph Wheeler,https://en.wikipedia.org/wiki/Joseph_Wheeler,battle_1615903,Battle of Dover (1863),battle_article,side_b,Union victory,victory,unknown,low
Sterling Price,https://en.wikipedia.org/wiki/Sterling_Price,battle_312570,Battle of Helena,battle_article,side_b,Union victory,victory,unknown,low
Joseph E. Johnston,https://en.wikipedia.org/wiki/Joseph_E._Johnston,battle_1552707,Battle of Jackson,battle_article,side_b,Union victory,victory,unknown,low
Samuel D. Sturgis,https://en.wikipedia.org/wiki/Samuel_D._Sturgis,battle_1615914,Battle of Mossy Creek,battle_article,side_a,Union victory,victory,unknown,low
Gregorio Luperón,https://en.wikipedia.org/wiki/Gregorio_Luper%C3%B3n,battle_13328712,Dominican Restoration War,war_conflict_article,side_a,Victory,victory,unknown,low
José María Cabral,https://en.wikipedia.org/wiki/Jos%C3%A9_Mar%C3%ADa_Cabral,battle_13328712,Dominican Restoration War,war_conflict_article,side_a,Victory,victory,unknown,low
Pedro Santana,https://en.wikipedia.org/wiki/Pedro_Santana,battle_13328712,Dominican Restoration War,war_conflict_article,side_b,Victory,victory,unknown,low
Jubal Early,https://en.wikipedia.org/wiki/Jubal_Early,battle_1355062,Second Battle of Fredericksburg,battle_article,side_b,Union victory,victory,unknown,low
Nathaniel P. Banks,https://en.wikipedia.org/wiki/Nathaniel_P._Banks,battle_261994,Siege of Port Hudson,battle_article,side_a,Union victory,victory,unknown,low
Joseph E. Johnston,https://en.wikipedia.org/wiki/Joseph_E._Johnston,battle_1917068,Battle of Adairsville,battle_article,side_b,Union victory,victory,unknown,low
Joseph Wheeler,https://en.wikipedia.org/wiki/Joseph_Wheeler,battle_4535025,Battle of Buckhead Creek,battle_article,side_b,Union victory,victory,unknown,low
Philip Sheridan,https://en.wikipedia.org/wiki/Philip_Sheridan,battle_906255,Battle of Cedar Creek,battle_article,side_a,Union victory,victory,unknown,low
George Crook,https://en.wikipedia.org/wiki/George_Crook,battle_906255,Battle of Cedar Creek,battle_article,side_a,Union victory,victory,unknown,low
Jubal Early,https://en.wikipedia.org/wiki/Jubal_Early,battle_906255,Battle of Cedar Creek,battle_article,side_b,Union victory,victory,unknown,low
George Crook,https://en.wikipedia.org/wiki/George_Crook,battle_1501860,Battle of Cloyd's Mountain,battle_article,side_a,Union victory,victory,unknown,low
