analytic_commander_id,display_name,rank_hierarchical_trust_v2,score_hierarchical_trust_v2,rank_high_level_capped,score_high_level_capped,broad_page_contribution_share,battle_siege_page_contribution_share,rank_eligibility_filtered,exclude_from_headline_ranking,rank_role_weighted,score_role_weighted,rank_change_vs_hierarchical_trust_v2,dominant_role_class,share_direct_field_command,share_unclear_role,share_nominal_or_political,role_adjustment_factor,mean_role_confidence,confidence_adjusted_tier,confidence_category,rank_band_width_80,recommended_interpretation,best_rank_pass4_models,worst_rank_pass4_models,rank_range_pass4_models
acmd_511cecdfe383,"Henri de La Tour d'Auvergne, Viscount of Turenne",12,85.47985004686036,12,85.47985004686036,0.0,1.0,12.0,False,12,64.66103631711464,0,principal_field_commander,0.9800117832758503,0.019988216724149816,0.0,0.8410053024741325,0.5978260869565217,"Tier B, confidence-supported elite",wide,78.1,High-ranking but confidence-limited: emphasize tier and interval over exact rank.,12.0,12.0,0.0
acmd_b11217dd158b,Mehmed II,13,85.11152764761013,13,85.11152764761013,0.01843,0.98157,13.0,False,22,60.38334049712341,9,principal_field_commander,0.9820707669101101,0.01792923308988994,0.0,0.7902503507525221,0.5910714285714286,"Tier B, confidence-supported elite",wide,43.1,High-ranking but confidence-limited: emphasize tier and interval over exact rank.,13.0,22.0,9.0
acmd_4ed31628d983,Belisarius,14,85.02999062792877,14,85.02999062792877,0.021691,0.978309,14.0,False,36,57.96472299620205,22,principal_field_commander,0.9719798141752612,0.026390047879900163,0.0,0.7624577177356028,0.5763157894736842,"Tier B, confidence-supported elite",wide,77.2,High-ranking but confidence-limited: emphasize tier and interval over exact rank.,14.0,36.0,22.0
acmd_680356dbc48c,Louis-Gabriel Suchet,15,84.89409559512653,15,84.89409559512653,0.005759,0.994241,15.0,False,20,60.944958563218826,5,principal_field_commander,0.9899609494281908,0.004377126524789116,0.0,0.7971567013163449,0.6022727272727273,"Tier B, confidence-supported elite",wide,86.0,High-ranking but confidence-limited: emphasize tier and interval over exact rank.,15.0,20.0,5.0
acmd_9506d32c4783,André Masséna,16,84.28584817244611,16,84.28584817244611,0.0079,0.9921,16.0,False,32,58.626053472982804,16,principal_field_commander,0.9895559637735502,0.0029695213487249666,0.0,0.7733139118869237,0.5978260869565217,"Tier B, confidence-supported elite",wide,42.3,High-ranking but confidence-limited: emphasize tier and interval over exact rank.,16.0,32.0,16.0
acmd_51ac35eb96a8,"Alexander Farnese, Duke of Parma",17,83.99250234301782,17,83.99250234301782,0.0,1.0,17.0,False,14,62.90945208269131,-3,principal_field_commander,0.995451854527541,0.004548145472458925,0.0,0.8290694761187885,0.6136363636363636,"Tier B, confidence-supported elite",moderate,28.0,Rank band is reasonably constrained under current model assumptions.,14.0,17.0,3.0
acmd_2ed09394c0e3,Khalid ibn al-Walid,18,83.5801312089972,18,83.5801312089972,0.0,1.0,18.0,False,17,61.3914635587574,-1,principal_field_commander,0.9976835397221491,0.0023164602778509825,0.0,0.8118403488869801,0.6190476190476191,"Tier A, confidence-supported robust elite",narrow,4.0,"Robust elite: exact rank is still not historical truth, but elite-band placement is strongly supported.",17.0,18.0,1.0
acmd_d7b7bb3c084e,Genghis Khan,19,83.50609184629803,19,83.50609184629803,0.044194,0.955806,19.0,False,5,81.41843955014058,-14,overall_commander,1.0,0.0,0.0,1.0,0.9,"Tier C, high-ranking but confidence-limited",very_wide,104.2,High-ranking but confidence-limited: emphasize tier and interval over exact rank.,5.0,19.0,14.0
acmd_31e8258ee555,Hubert Gough,20,83.04029990627929,20,83.04029990627929,0.053235,0.946765,20.0,False,13,63.294331175734946,-7,principal_field_commander,1.0,0.0,0.0,0.841819016288947,0.6217391304347827,"Tier C, high-ranking but confidence-limited",very_wide,120.5,High-ranking but confidence-limited: emphasize tier and interval over exact rank.,13.0,20.0,7.0
acmd_73ed44aa1867,Bernard Montgomery,21,82.21180880974696,113,70.06665829428304,0.488638,0.511362,21.0,False,19,61.09809505680336,-2,overall_commander,0.9185102551267479,0.0,0.0,0.84045380971413,0.5370370370370371,"Tier C, high-ranking but confidence-limited",very_wide,108.3,High-ranking but confidence-limited: emphasize tier and interval over exact rank.,19.0,113.0,94.0
acmd_d53c51d2e48c,Maharaja Ranjit Singh,22,82.12089971883786,21,82.12089971883786,0.123879,0.876121,22.0,False,53,55.66030377401223,31,principal_field_commander,0.8858239853963635,0.09390032263252954,0.0,0.760132570410185,0.5666666666666668,"Tier C, high-ranking but confidence-limited",very_wide,364.5,High-ranking but confidence-limited: emphasize tier and interval over exact rank.,21.0,53.0,32.0
acmd_52501a875538,Alexander the Great,23,81.81630740393626,22,81.81630740393626,0.01093,0.98907,23.0,False,35,58.18381360086376,12,principal_field_commander,0.9906892899595056,0.0,0.0,0.789072723110546,0.605,"Tier C, high-ranking but confidence-limited",very_wide,189.1,High-ranking but confidence-limited: emphasize tier and interval over exact rank.,22.0,35.0,13.0
acmd_7ece542ce56e,Winfield Scott,24,81.72352389878164,23,81.72352389878164,0.026489,0.973511,24.0,False,45,56.405917860572615,21,principal_field_commander,0.938799986479425,0.036604280020631895,0.0,0.7740607634580947,0.5666666666666668,"Tier C, high-ranking but confidence-limited",very_wide,294.0,High-ranking but confidence-limited: emphasize tier and interval over exact rank.,23.0,45.0,22.0
acmd_ed6b2e7bab39,Hannibal,25,81.60262417994377,24,81.60262417994377,0.024998,0.975002,25.0,False,15,62.52371470519429,-10,principal_field_commander,0.9777658759965363,0.011915228563976222,0.0,0.8430903128302876,0.6351851851851853,"Tier C, high-ranking but confidence-limited",very_wide,142.2,High-ranking but confidence-limited: emphasize tier and interval over exact rank.,15.0,25.0,10.0
acmd_9532eb3afefd,Enver Pasha,26,81.10777881911903,25,81.10777881911903,0.064522,0.935478,26.0,False,39,57.00332042854347,13,principal_field_commander,0.8701615533034113,0.042821540969720025,0.0,0.7970433017403707,0.5270833333333333,"Tier C, high-ranking but confidence-limited",very_wide,278.7,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.,25.0,39.0,14.0
acmd_ac43c188bcf2,Baybars,27,80.92502343017806,26,80.92502343017806,0.0,1.0,27.0,False,16,62.099471265067045,-11,principal_field_commander,0.9901939278709414,0.009806072129058518,0.0,0.8455872675419237,0.6300000000000001,"Tier C, high-ranking but confidence-limited",very_wide,274.4,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.,16.0,27.0,11.0
acmd_041804c2e06c,Peng Dehuai,28,80.7535145267104,27,80.7535145267104,0.0,1.0,28.0,False,27,59.508865901160384,-1,principal_field_commander,0.9893540154463705,0.01064598455362948,0.0,0.8245256798181009,0.575,"Tier C, high-ranking but confidence-limited",very_wide,340.1,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.,27.0,28.0,1.0
acmd_94390629dbd3,Frederick the Great,29,80.29334582942832,28,80.29334582942832,0.030994,0.969006,29.0,False,6,79.28967900656046,-23,overall_commander,1.0,0.0,0.0,1.0,0.95,"Tier C, high-ranking but confidence-limited",wide,92.2,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.,6.0,29.0,23.0
acmd_728cd65a1773,Heinz Guderian,30,80.22961574507967,29,80.22961574507967,0.0,1.0,30.0,False,51,55.85035237624192,21,principal_field_commander,1.0,0.0,0.0,0.7719476585549695,0.6071428571428571,"Tier C, high-ranking but confidence-limited",very_wide,208.1,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.,29.0,51.0,22.0
acmd_e57884ddb832,Charles-Pierre Augereau,31,80.22961574507967,30,80.22961574507967,0.030512,0.969488,31.0,False,86,51.84852849748179,55,principal_field_commander,0.9652618040618912,0.005315001210463684,0.0,0.725076321493858,0.5651515151515152,"Tier C, high-ranking but confidence-limited",wide,89.3,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.,30.0,86.0,56.0
acmd_70fd3b0db695,Takeda Shingen,32,80.02999062792877,31,80.02999062792877,0.0,1.0,32.0,False,21,60.56891917076127,-11,principal_field_commander,1.0,0.0,0.0,0.8316788658072594,0.64,"Tier B, confidence-supported elite",wide,70.3,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.,21.0,32.0,11.0
acmd_882696f48db2,Hari Singh Nalwa,33,79.99812558575447,32,79.99812558575447,0.035888,0.964112,33.0,False,59,55.08810388937819,26,principal_field_commander,0.9652681185743828,0.03473188142561721,0.0,0.7686892275865732,0.5833333333333334,"Tier C, high-ranking but confidence-limited",very_wide,305.0,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.,32.0,59.0,27.0
acmd_9f7dff80cfa8,Aurangzeb,34,79.99718837863168,33,79.99718837863168,0.003328,0.996672,34.0,False,84,51.99143592036792,50,principal_field_commander,0.982797649030925,0.017202350969075044,0.0,0.7378008973600704,0.5235294117647059,"Tier C, high-ranking but confidence-limited",very_wide,201.1,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.,33.0,84.0,51.0
acmd_c82d0737a6d5,Ögedei Khan,35,79.54732895970011,34,79.54732895970011,0.067446,0.932554,35.0,False,46,56.35752068859584,11,principal_field_commander,0.9325539232178236,0.0,0.0,0.7942894828060804,0.5678571428571428,"Tier C, high-ranking but confidence-limited",very_wide,173.0,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.,34.0,46.0,12.0
acmd_8cc431cd8376,Dwight D. Eisenhower,36,79.46110590440486,241,60.61849386129333,0.542278,0.457722,36.0,False,68,54.232204779756316,32,coalition_commander,0.0,0.0,0.0,0.7,0.9000000000000001,"Tier C, high-ranking but confidence-limited",very_wide,257.5,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.,36.0,241.0,205.0
acmd_7efa0f23739e,Katō Kiyomasa,37,79.41799437675726,35,79.41799437675726,0.025046,0.974954,37.0,False,64,54.80301229624534,27,principal_field_commander,0.9775140042585334,0.0,0.0,0.7683727924676728,0.5923076923076923,"Tier C, high-ranking but confidence-limited",very_wide,228.2,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.,35.0,64.0,29.0
acmd_d689b62984e1,Tokugawa Ieyasu,38,79.38800374882848,36,79.38800374882848,0.02066,0.97934,38.0,False,119,48.98778099494753,81,wing_or_corps_commander,0.9809200890134149,0.0,0.0,0.6897364655415591,0.5785714285714285,"Tier C, high-ranking but confidence-limited",very_wide,181.5,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.,36.0,119.0,83.0
acmd_44036d145325,Georgy Zhukov,39,79.34020618556703,37,79.34020618556703,0.250609,0.749391,39.0,False,7,77.35670103092785,-32,overall_commander,1.0,0.0,0.0,1.0,0.9,"Tier C, high-ranking but confidence-limited",wide,98.2,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.,7.0,39.0,32.0
acmd_d687b502db52,Mikhail Kutuzov,40,79.11246485473292,38,79.11246485473292,0.064123,0.935877,40.0,False,94,51.28052437888145,54,principal_field_commander,0.948666401518173,0.0,0.0,0.7303636999009263,0.5499999999999999,"Tier C, high-ranking but confidence-limited",very_wide,278.7,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.,38.0,94.0,56.0
acmd_f47199d981fc,Stanisław Żółkiewski,41,79.0834114339269,39,79.0834114339269,0.0,1.0,41.0,False,29,58.971691247474766,-12,principal_field_commander,1.0,0.0,0.0,0.8308521165559748,0.59,"Tier C, high-ranking but confidence-limited",very_wide,151.1,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.,29.0,41.0,12.0
acmd_dbaafbd66e5b,Charles XII of Sweden,42,79.06466729147141,40,79.06466729147141,0.00556,0.99444,42.0,False,26,59.84842457893596,-16,principal_field_commander,0.9945015706168527,0.0,0.0,0.8336930246079349,0.6318181818181818,"Tier C, high-ranking but confidence-limited",very_wide,109.4,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.,26.0,42.0,16.0
acmd_172afb0cb776,Fyodor Tolbukhin,43,79.01686972820991,257,59.63574361605747,0.547167,0.452833,43.0,False,18,61.35949219295259,-25,overall_commander,1.0,0.0,0.0,0.8815440653693675,0.5235294117647059,"Tier C, high-ranking but confidence-limited",very_wide,177.4,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.,18.0,257.0,239.0
acmd_b0bb8531c63e,Nikolai Vatutin,44,78.97563261480786,120,69.43537619493907,0.47248,0.52752,44.0,False,72,53.730356958261105,28,wing_or_corps_commander,0.7981825197339626,0.0,0.0,0.7695922770600644,0.5361111111111111,"Tier C, high-ranking but confidence-limited",very_wide,168.6,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.,44.0,120.0,76.0
acmd_0cf8151e7cf9,Rodion Malinovsky,45,78.86035613870665,289,57.51430350515463,0.562409,0.437591,45.0,False,33,58.487471586626356,-12,overall_commander,0.8973198096060251,0.0,0.0,0.8392694116402558,0.5347826086956522,"Tier C, high-ranking but confidence-limited",very_wide,153.1,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.,33.0,289.0,256.0
acmd_542b4086f360,Mustafa Kemal Atatürk,46,78.66073102155575,41,78.66073102155575,0.035975,0.964025,46.0,False,40,56.93606073803359,-6,principal_field_commander,0.9472520072822544,0.032526893092168614,0.0,0.8113253303477954,0.5685714285714286,"Tier C, high-ranking but confidence-limited",very_wide,122.5,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.,40.0,46.0,6.0
acmd_b7e856700f22,Konstantin Rokossovsky,47,78.61855670103094,111,70.60103628865981,0.461188,0.538812,47.0,False,8,75.67036082474227,-39,overall_commander,1.0,0.0,0.0,1.0,0.85,"Tier C, high-ranking but confidence-limited",very_wide,155.7,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.,8.0,111.0,103.0
acmd_be0dead43626,Peter Wittgenstein,48,78.55576382380507,42,78.55576382380507,0.01146,0.98854,48.0,False,50,55.974506887441876,2,principal_field_commander,0.9890765871063529,0.0,0.0,0.7946208433449014,0.5868421052631579,"Tier C, high-ranking but confidence-limited",very_wide,186.2,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.,42.0,50.0,8.0
acmd_e106c97dfef1,Tolui,49,78.4714151827554,43,78.4714151827554,0.075602,0.924398,49.0,False,30,58.930589360877335,-19,principal_field_commander,0.9243977398650669,0.0,0.0,0.8386596609797601,0.5818181818181819,"Tier C, high-ranking but confidence-limited",very_wide,260.0,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.,30.0,49.0,19.0
acmd_4553085c23c9,Fedor von Bock,50,78.41705716963448,82,73.63230973133396,0.43661,0.56339,50.0,False,25,59.886772221495185,-25,principal_field_commander,1.0,0.0,0.0,0.8566631587407462,0.5659090909090909,"Tier C, high-ranking but confidence-limited",very_wide,150.6,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.,25.0,82.0,57.0
acmd_8ff67c26331f,Jean Victor Marie Moreau,51,78.28022492970948,44,78.28022492970948,0.0,1.0,51.0,False,38,57.47058746496598,-13,principal_field_commander,1.0,0.0,0.0,0.8139299587682524,0.6080000000000001,"Tier C, high-ranking but confidence-limited",wide,53.1,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.,38.0,51.0,13.0
acmd_59f41bf60d8d,Ōyama Iwao,52,78.18931583880037,45,78.18931583880037,0.05684,0.94316,52.0,False,99,50.948896350380494,47,principal_field_commander,0.9485706146711091,0.0,0.0,0.7280552408333093,0.58,"Tier C, high-ranking but confidence-limited",very_wide,310.7,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.,45.0,99.0,54.0
acmd_632d6e1b916a,Amr ibn al-As,53,78.00281162136832,46,78.00281162136832,0.0,1.0,53.0,False,73,53.53977530043801,20,principal_field_commander,1.0,0.0,0.0,0.7634630367537596,0.5961538461538461,"Tier C, high-ranking but confidence-limited",very_wide,125.1,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.,46.0,73.0,27.0
acmd_cf14a194e3dc,Mahmud Pasha Angelović,54,77.98313027179006,47,77.98313027179006,0.0,1.0,54.0,False,62,55.01914045761405,8,principal_field_commander,1.0,0.0,0.0,0.783917984225264,0.6000000000000001,"Tier C, high-ranking but confidence-limited",very_wide,135.3,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.,47.0,62.0,15.0
acmd_909d92cf788e,Maeda Toshiie,55,77.9821930646673,48,77.9821930646673,0.028504,0.971496,55.0,False,200,43.52130972528588,145,wing_or_corps_commander,0.9744194786978849,0.0,0.0,0.6272308663559155,0.5590909090909091,"Tier C, high-ranking but confidence-limited",very_wide,245.9,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.,48.0,200.0,152.0
acmd_9acc0b2c5ac1,Walter Krueger,56,77.98031865042176,49,77.98031865042176,0.225952,0.774048,56.0,False,108,50.17418454751048,52,wing_or_corps_commander,0.9696592513107267,0.0,0.0,0.7249815520931238,0.55,"Tier C, high-ranking but confidence-limited",very_wide,129.0,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.,49.0,108.0,59.0
acmd_ccc95a8b031b,Oliver Cromwell,57,77.86504217432054,50,77.86504217432054,0.041154,0.958846,57.0,False,47,56.25585305786965,-10,principal_field_commander,0.941198328648965,0.031130296597606823,0.0,0.8081223391008385,0.5760869565217391,"Tier C, high-ranking but confidence-limited",very_wide,282.1,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.,47.0,57.0,10.0
acmd_9abc9d454029,Abu Ubayda ibn al-Jarrah,58,77.29147141518277,51,77.29147141518277,0.028287,0.971713,58.0,False,100,50.86130995818717,42,principal_field_commander,0.9717132950099665,0.0,0.0,0.7348066126880904,0.5821428571428572,"Tier C, high-ranking but confidence-limited",very_wide,150.1,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.,51.0,100.0,49.0
acmd_73305bd7a7e8,Aleksandr Vasilevsky,59,77.25679475164013,321,56.10182416744769,0.564296,0.435704,59.0,False,160,46.07160008674064,101,wing_or_corps_commander,0.5901003711092248,0.0,0.0,0.6809633783942883,0.5029411764705882,"Tier C, high-ranking but confidence-limited",very_wide,338.7,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.,59.0,321.0,262.0
acmd_6970e6b60c26,Saladin,60,77.2464854732896,52,77.2464854732896,0.0,1.0,60.0,False,24,59.914305295220245,-36,principal_field_commander,1.0,0.0,0.0,0.85,0.65,"Tier C, high-ranking but confidence-limited",very_wide,164.5,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.,24.0,60.0,36.0
acmd_f3435c4f05ec,Claude-Victor Perrin,61,77.14339268978445,53,77.14339268978445,0.007812,0.992188,61.0,False,77,52.74735586019971,16,principal_field_commander,0.9880414770214982,0.004708821459482438,0.0,0.7611398221658416,0.5933333333333334,"Tier C, high-ranking but confidence-limited",very_wide,131.4,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.,53.0,77.0,24.0
acmd_eec0f4ec373e,Francis Vere,62,77.11527647610122,54,77.11527647610122,0.0,1.0,62.0,False,31,58.80893157066043,-31,principal_field_commander,1.0,0.0,0.0,0.8393687160861684,0.6342105263157896,"Tier C, high-ranking but confidence-limited",wide,74.0,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.,31.0,62.0,31.0
acmd_429b31f5c5fd,Philip the Good,63,77.06747891283976,55,77.06747891283976,0.0,1.0,63.0,False,34,58.18843233992097,-29,principal_field_commander,0.9894355807066095,0.010564419293390463,0.0,0.8452460113179744,0.573076923076923,"Tier C, high-ranking but confidence-limited",very_wide,278.6,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.,34.0,63.0,29.0
acmd_8a9267fb6cd4,John III Sobieski,64,77.01312089971884,56,77.01312089971884,0.017295,0.982705,64.0,False,48,56.15797500463974,-16,principal_field_commander,0.9831731622303759,0.0,0.0,0.8128275432282916,0.5884615384615385,"Tier C, high-ranking but confidence-limited",very_wide,242.8,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.,48.0,64.0,16.0
acmd_6801fcdfc85b,Sayenqueraghta,65,76.91752577319589,57,76.91752577319589,0.04304,0.95696,65.0,False,76,52.76272843058979,11,principal_field_commander,0.9587804035488954,0.0,0.0,0.7696661679938611,0.5650000000000001,"Tier C, high-ranking but confidence-limited",very_wide,263.6,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.,57.0,76.0,19.0
acmd_6098828ef6a4,Petar Bojović,66,76.91181818181818,58,76.91181818181818,0.2145,0.785499,66.0,False,105,50.36818437246605,39,principal_field_commander,0.7799291566316536,0.018868773809607154,0.0,0.7440082341747523,0.5208333333333334,"Tier C, high-ranking but confidence-limited",very_wide,488.3,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.,58.0,105.0,47.0
acmd_3435325eb9b0,George S. Patton,67,76.86129334582941,172,65.52835184629801,0.488468,0.511532,67.0,False,71,53.768846738802154,4,principal_field_commander,0.7815415688869847,0.0,0.0,0.7882331067618983,0.55,"Tier C, high-ranking but confidence-limited",very_wide,222.2,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.,67.0,172.0,105.0
acmd_9b46a317ac31,Ahmad Shah Durrani,68,76.76194939081537,59,76.76194939081537,0.0,1.0,68.0,False,58,55.29926358694266,-10,principal_field_commander,0.9874304412590282,0.012569558740971704,0.0,0.8103748611123615,0.5558823529411764,"Tier C, high-ranking but confidence-limited",very_wide,323.4,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.,58.0,68.0,10.0
acmd_cbe4494bd0e0,"François-Henri de Montmorency, duc de Luxembourg",69,76.60168697282099,60,76.60168697282099,0.0,1.0,69.0,False,52,55.77982592056953,-17,principal_field_commander,0.9669564484732075,0.03304355152679251,0.0,0.8099543625544348,0.5961538461538461,"Tier C, high-ranking but confidence-limited",very_wide,310.0,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.,52.0,69.0,17.0
acmd_ed738e8e2d78,Ernst Gideon von Laudon,70,76.56982193064667,61,76.56982193064667,0.02194,0.97806,70.0,False,49,56.11298253395613,-21,principal_field_commander,0.9693417303153002,0.00952424636924299,0.0,0.820774279649681,0.5714285714285714,"Tier C, high-ranking but confidence-limited",very_wide,392.3,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.,49.0,70.0,21.0
acmd_a33c5f70ac13,Živojin Mišić,71,76.51545454545455,62,76.51545454545455,0.229041,0.770959,71.0,False,137,47.706616786156566,66,wing_or_corps_commander,0.7937433513292786,0.0,0.0,0.7058376771352223,0.5333333333333333,"Tier C, high-ranking but confidence-limited",very_wide,372.9,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.,62.0,137.0,75.0
acmd_f0aba2fd984a,Kirill Meretskov,72,76.47235238987817,214,62.57388470477976,0.509047,0.490953,72.0,False,75,53.05975903685826,3,overall_commander,0.7403919245409307,0.013076013591801305,0.0,0.7901407893636229,0.5125,"Tier C, high-ranking but confidence-limited",very_wide,280.5,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.,72.0,214.0,142.0
acmd_38a594d34cab,"Édouard Mortier, Duke of Treviso",73,76.4208059981256,63,76.4208059981256,0.04671,0.95329,73.0,False,123,48.87181302080505,50,principal_field_commander,0.9487033329215863,0.00829540599973313,0.0,0.7177432761641972,0.5640000000000001,"Tier C, high-ranking but confidence-limited",very_wide,121.3,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.,63.0,123.0,60.0
acmd_231817819511,Nader Shah,74,76.33833177132148,64,76.33833177132148,0.018003,0.981997,74.0,False,44,56.49412890966206,-30,principal_field_commander,0.9734275693924835,0.026572430607516514,0.0,0.8300869567493033,0.5661290322580645,"Tier C, high-ranking but confidence-limited",very_wide,163.3,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.,44.0,74.0,30.0
