battle_id,battle_name,battle_name_normalized,wikipedia_title,source_url,date_raw,start_date,end_date,year,century,date_parse_confidence,war_name,campaign_name,location_raw,location_normalized,latitude,longitude,present_day_country,result_raw,result_normalized,result_type,belligerent_1_raw,belligerent_2_raw,belligerent_3_raw,commander_side_a_raw,commander_side_b_raw,commander_side_c_raw,strength_side_a_raw,strength_side_b_raw,strength_side_c_raw,casualties_side_a_raw,casualties_side_b_raw,casualties_side_c_raw,strength_side_a_min,strength_side_a_max,strength_side_b_min,strength_side_b_max,casualties_side_a_min,casualties_side_a_max,casualties_side_b_min,casualties_side_b_max,page_type,page_type_confidence,classification_notes,acceptance_reason,battle_type,infobox_present,text_length,categories,list_page_origin,parent_list_page,discovery_root,source_family,extraction_confidence,notes,quarantine_reason,validation_status
battle_354393,List of Roman civil wars and revolts,List of Roman civil wars and revolts,List of Roman civil wars and revolts,https://en.wikipedia.org/wiki/List_of_Roman_civil_wars_and_revolts,330–1453,,1453-04-01,330,4,0.75,,,,,,,,,,unknown,,,,,,,,,,,,,,,,,,,,,war_conflict_article,0.83,list-page signals | battle categories | war/conflict title | war/conflict categories | biography categories,list-page signals | battle categories | war/conflict title | war/conflict categories | biography categories | fallback wikitext extraction,uprising,False,28763,All articles lacking in-text citations | All articles with unsourced statements | Ancient Rome-related lists | Articles lacking in-text citations from November 2018 | Articles with short description | Articles with unsourced statements from April 2023 | CS1 maint: location missing publisher | CS1 maint: others | Civil wars involving the states and peoples of Africa | Civil wars involving the states and peoples of Asia | Civil wars involving the states and peoples of Europe | Civil wars of antiquity | Civil wars of the Roman Empire | Lists of battles by former country involved | Lists of wars by former country involved | Rebellions-related lists | Roman Republican civil wars | Roman civil wars | Short description matches Wikidata,,,,,0.4,validated_rebuild_mode=wikitext,insufficient_source_evidence|no_infobox_and_no_result,quarantined
battle_20796973,Phyle Campaign,Phyle Campaign,Phyle Campaign,https://en.wikipedia.org/wiki/Phyle_Campaign,404–403,,,404,5,0.5,,,,,,,,,,unknown,,,,,,,,,,,,,,,,,,,,,campaign_article,0.83,battle-like title | battle categories | campaign signals | war/conflict categories,battle-like title | battle categories | campaign signals | war/conflict categories | fallback wikitext extraction,campaign_like_engagement,False,2261,400s BC conflicts | 403 BC | 404 BC | Articles with short description | Battles of the Phyle Campaign | Civil wars of antiquity | Short description matches Wikidata | Wars involving Sparta | Wars involving ancient Athens,List of conflicts in Europe,List of conflicts in Europe,Lists of battles,war_conflict_based,0.2,validated_rebuild_mode=wikitext,insufficient_source_evidence|no_infobox_and_no_result,quarantined
battle_41401530,Iapygian–Tarentine wars,Iapygian–Tarentine wars,Iapygian–Tarentine wars,https://en.wikipedia.org/wiki/Iapygian%E2%80%93Tarentine_wars,In 473,,,473,5,0.5,,,,,,,,Defeat,Defeat,defeat,,,,,,,,,,,,,,,,,,,,,war_conflict_article,0.83,battle categories | war/conflict title | war/conflict categories,battle categories | war/conflict title | war/conflict categories | fallback wikitext extraction,war_conflict,False,10240,4th-century BC conflicts | 4th century BC in Italy | Articles with short description | Short description matches Wikidata | Wars involving Illyria | Webarchive template wayback links,,,,,0.4,validated_rebuild_mode=wikitext,insufficient_source_evidence,quarantined
battle_41249186,Political warfare,Political warfare,Political warfare,https://en.wikipedia.org/wiki/Political_warfare,544–498,,,544,6,0.5,,,,,,,,,,unknown,,,,,,,,,,,,,,,,,,,,,war_conflict_article,0.5,campaign signals | war/conflict title,campaign signals | war/conflict title | fallback wikitext extraction,war_conflict,False,34001,All articles with unsourced statements | Articles with short description | Articles with unsourced statements from September 2024 | CS1 errors: periodical ignored | CS1 maint: work parameter with ISBN | Information operations and warfare | Propaganda techniques | Psychological warfare | Psychological warfare techniques | Short description matches Wikidata | War and politics | Warfare by type | Warfare of the late modern period | Wikipedia articles needing clarification from November 2011,List of non-international armed conflicts | List of sieges | List of wars by death toll | Outline of war,List of non-international armed conflicts | List of sieges | List of wars by death toll | Outline of war,Lists of battles,battle_type_based | war_conflict_based,0.2,validated_rebuild_mode=wikitext,insufficient_source_evidence|no_infobox_and_no_result,quarantined
battle_60087609,"Sieges of Petra, Lazica","Sieges of Petra, Lazica","Sieges of Petra, Lazica",https://en.wikipedia.org/wiki/Sieges_of_Petra%2C_Lazica,550–551,,,550,6,0.5,,,,,,,,,,unknown,,,,,,,,,,,,,,,,,,,,,battle_article,0.83,battle-like title | battle categories,battle-like title | battle categories | fallback wikitext extraction,siege,False,174,All article disambiguation pages | All disambiguation pages | Disambiguation pages | Lists of sieges | Short description is different from Wikidata,,,,,0.2,validated_rebuild_mode=wikitext,insufficient_source_evidence|no_infobox_and_no_result,quarantined
battle_10671884,Battle of the Fetters,Battle of the Fetters,Battle of the Fetters,https://en.wikipedia.org/wiki/Battle_of_the_Fetters,560–520,,,560,6,0.5,,,,,,,,Defeat,Defeat,defeat,,,,,,,,,,,,,,,,,,,,,battle_article,0.83,battle-like title | battle categories | war/conflict categories,battle-like title | battle categories | war/conflict categories | fallback wikitext extraction,land_battle,False,3144,6th-century BC conflicts | 6th century BC in Greece | All articles lacking reliable references | All articles needing additional references | All articles with style issues | Ancient Arcadia | Articles lacking reliable references from February 2025 | Articles needing additional references from February 2025 | Articles with multiple maintenance issues | Articles with short description | Battles involving Sparta | Short description matches Wikidata | Wikipedia articles with style issues from February 2025,List of battles before 301,List of battles before 301,Lists of battles,period_based,0.4,validated_rebuild_mode=wikitext,insufficient_source_evidence,quarantined
battle_7468150,Capture of Breda (1581),Capture of Breda,Capture of Breda (1581),https://en.wikipedia.org/wiki/Capture_of_Breda_%281581%29,Some 584,,,584,6,0.5,,,,,51.56666667,4.8,,,,unknown,,,,,,,,,,,,,,,,,,,,,battle_article,0.5,battle categories | war/conflict categories,battle categories | war/conflict categories | fallback wikitext extraction,siege,False,1171,1580s in the Habsburg Netherlands | 16th-century military history of Spain | All stub articles | Articles with short description | Battle stubs | Conflicts in 1581 | Coordinates on Wikidata | Duchy of Brabant | Dutch history stubs | Eighty Years' War (1566–1609) | History of Breda | Pages using gadget WikiMiniAtlas | Short description is different from Wikidata | Sieges involving Spain | Sieges of the Eighty Years' War | Spanish battle stubs,,,,,0.2,validated_rebuild_mode=wikitext,insufficient_source_evidence|no_infobox_and_no_result,quarantined
battle_416058,Expedition of Tabuk,Expedition of Tabuk,Expedition of Tabuk,https://en.wikipedia.org/wiki/Expedition_of_Tabuk,October 630,,,630,7,0.5,,,,,28.38333333,36.58333333,,,,unknown,,,,,,,,,,,,,,,,,,,,,campaign_article,0.83,battle-like title | battle categories | campaign signals,battle-like title | battle categories | campaign signals | fallback wikitext extraction,campaign_like_engagement,False,3973,630 | 7th century in the Byzantine Empire | All articles with unsourced statements | Articles containing Arabic-language text | Articles with short description | Articles with unsourced statements from July 2025 | CS1 errors: requires URL | CS1 uses Arabic-language script (ar) | Campaigns led by Muhammad | Coordinates on Wikidata | Military campaigns | Pages using gadget WikiMiniAtlas | Short description is different from Wikidata | Wikipedia pending changes protected pages,List of battles 301–1300,List of battles 301–1300,Lists of battles,list_misc,0.2,validated_rebuild_mode=wikitext,insufficient_source_evidence|no_infobox_and_no_result,quarantined
battle_1204154,Military career of Muhammad,Military career of Muhammad,Military career of Muhammad,https://en.wikipedia.org/wiki/Military_career_of_Muhammad,8 June 632,,,632,7,0.5,,,,,,,,,,unknown,,,,,,,,,,,,,,,,,,,,,battle_article,0.5,battle categories,battle categories | fallback wikitext extraction,land_battle,True,12303,All Wikipedia articles written in British English with Oxford spelling | Articles containing Arabic-language text | Articles with short description | Battles of Muhammad | CS1 German-language sources (de) | CS1 maint: location missing publisher | Military careers by individual | Military history of Islam | Short description is different from Wikidata | Use Oxford spelling from July 2020 | Use dmy dates from July 2020 | Webarchive template wayback links,List of battles 301–1300,List of battles 301–1300,Lists of battles,list_misc,0.4,validated_rebuild_mode=wikitext,insufficient_source_evidence,quarantined
battle_7517230,Battle of Naqra,Battle of Naqra,Battle of Naqra,https://en.wikipedia.org/wiki/Battle_of_Naqra,October 633,,,633,7,0.5,,,,,24.617387,46.546303,,Defeat,Defeat,defeat,,,,,,,,,,,,,,,,,,,,,battle_article,0.83,battle-like title | battle categories | war/conflict categories,battle-like title | battle categories | war/conflict categories | fallback wikitext extraction,land_battle,False,1072,633 | All articles lacking in-text citations | All articles needing additional references | All stub articles | Articles lacking in-text citations from December 2014 | Articles needing additional references from April 2022 | Battle stubs | Battles involving the Rashidun Caliphate | Battles of Khalid ibn Walid | Coordinates on Wikidata | Middle Eastern history stubs | Pages using gadget WikiMiniAtlas | Ridda Wars,Category:Battle stubs | List of battles by geographic location,Category:Battle stubs | List of battles by geographic location,Lists of battles,category_based | list_misc,0.4,validated_rebuild_mode=wikitext,insufficient_source_evidence,quarantined
battle_5062985,Battle of Soissons (718),Battle of Soissons,Battle of Soissons (718),https://en.wikipedia.org/wiki/Battle_of_Soissons_%28718%29,December 714,,,714,8,0.5,,,,,49.38166667,3.32361111,,Defeat,Defeat,defeat,,,,,,,,,,,,,,,,,,,,,battle_article,0.83,battle-like title | battle categories | war/conflict categories,battle-like title | battle categories | war/conflict categories | fallback wikitext extraction,land_battle,False,1875,710s conflicts | 718 | 8th century in Francia | All articles lacking in-text citations | Articles lacking in-text citations from October 2014 | Articles with short description | Battles involving Francia | Charles Martel | Coordinates on Wikidata | Military history of Hauts-de-France | Pages using gadget WikiMiniAtlas | Short description matches Wikidata | Use dmy dates from March 2024,List of battles 301–1300 | List of battles by geographic location,List of battles 301–1300 | List of battles by geographic location,Lists of battles,list_misc,0.4,validated_rebuild_mode=wikitext,insufficient_source_evidence,quarantined
battle_3277733,Battle of Compiègne,Battle of Compiègne,Battle of Compiègne,https://en.wikipedia.org/wiki/Battle_of_Compi%C3%A8gne,26 September 715,,,715,8,0.5,,,,,49.39796,2.87301,,Defeat,Defeat,defeat,,,,,,,,,,,,,,,,,,,,,battle_article,0.83,battle-like title | battle categories | war/conflict categories,battle-like title | battle categories | war/conflict categories | fallback wikitext extraction,land_battle,False,1318,710s conflicts | 715 | 8th century in Francia | All articles needing additional references | Articles needing additional references from January 2023 | Articles with short description | Battles involving Francia | Coordinates on Wikidata | Military history of Hauts-de-France | Pages using gadget WikiMiniAtlas | Short description is different from Wikidata,List of battles 301–1300 | List of battles by geographic location,List of battles 301–1300 | List of battles by geographic location,Lists of battles,list_misc,0.4,validated_rebuild_mode=wikitext,insufficient_source_evidence,quarantined
battle_5533834,Battle of the River Berre,Battle of the River Berre,Battle of the River Berre,https://en.wikipedia.org/wiki/Battle_of_the_River_Berre,736–737,,,736,8,0.5,,,,,43.44583333,5.11388889,,Victory,Victory,victory,,,,,,,,,,,,,,,,,,,,,battle_article,0.83,battle-like title | battle categories | war/conflict categories,battle-like title | battle categories | war/conflict categories | fallback wikitext extraction,land_battle,False,3032,730s conflicts | 730s in the Umayyad Caliphate | 737 | 8th century in Francia | Articles with short description | Battles involving Francia | Battles involving the Umayyad Caliphate | Charles Martel | Coordinates on Wikidata | History of Narbonne | Pages using gadget WikiMiniAtlas | Short description is different from Wikidata,List of battles 301–1300 | List of battles by geographic location,List of battles 301–1300 | List of battles by geographic location,Lists of battles,list_misc,0.4,validated_rebuild_mode=wikitext,insufficient_source_evidence,quarantined
battle_73235037,Battle of Kummuh,Battle of Kummuh,Battle of Kummuh,https://en.wikipedia.org/wiki/Battle_of_Kummuh,763–734,,,763,8,0.5,,,,,,,,"The Battle of Kummuh marked the end of the Urartu hold on northern Syria, as Tiglath-pileser III defeated Sarduri II (r.",Defeat,defeat,,,,,,,,,,,,,,,,,,,,,battle_article,0.83,battle-like title | battle categories | war/conflict categories,battle-like title | battle categories | war/conflict categories | fallback wikitext extraction,land_battle,False,1541,7th-century BC conflicts | All articles needing additional references | Articles needing additional references from March 2023 | Articles with short description | Battles involving Assyria | Battles involving Urartu | Short description is different from Wikidata,List of battles (alphabetical) | List of battles before 301,List of battles (alphabetical) | List of battles before 301,Lists of battles,list_misc | period_based,0.4,validated_rebuild_mode=wikitext,insufficient_source_evidence,quarantined
battle_10423077,Ropucha-class landing ship,Ropucha-class landing ship,Ropucha-class landing ship,https://en.wikipedia.org/wiki/Ropucha-class_landing_ship,Project 775,,,775,8,0.5,,,,,,,,,,unknown,,,,,,,,,,,,,,,,,,,,,battle_article,0.33,battle-like title,battle-like title | fallback wikitext extraction,naval_battle,True,6278,All articles containing potentially dated statements | Amphibious warfare vessel classes | Amphibious warfare vessels of the Russian Navy | Amphibious warfare vessels of the Soviet Navy | Articles containing Russian-language text | Articles containing potentially dated statements from 2024 | Articles with short description | CS1 Polish-language sources (pl) | CS1 Russian-language sources (ru) | CS1 Ukrainian-language sources (uk) | Cold War amphibious warfare vessels of the Soviet Union | Commons category link is on Wikidata | Naval ships built in Poland for export | Pages with broken reference names | Pages with reference errors | Poland–Soviet Union relations | Ropucha-class landing ships | Short description is different from Wikidata | Use dmy dates from February 2022,List of naval battles,List of naval battles,Lists of battles,battle_type_based,0.4,validated_rebuild_mode=wikitext,insufficient_source_evidence,quarantined
battle_74520702,Russian landing ship Olenegorsky Gornyak,Russian landing ship Olenegorsky Gornyak,Russian landing ship Olenegorsky Gornyak,https://en.wikipedia.org/wiki/Russian_landing_ship_Olenegorsky_Gornyak,Project 775,,,775,8,0.5,,,,,,,,,,unknown,,,,,,,,,,,,,,,,,,,,,battle_article,0.33,battle-like title,battle-like title | fallback wikitext extraction,naval_battle,True,1309,1975 ships | 2023 in Russia | All stub articles | Articles containing Russian-language text | Articles with short description | August 2023 in Russia | Commons category link from Wikidata | European naval ship stubs | Landing craft | Maritime incidents in 2023 | Ropucha-class landing ships | Russian military stubs | Ships built in Gdańsk | Ships involved in the Russian invasion of Ukraine | Ships of the Russian Navy | Short description is different from Wikidata,List of naval battles,List of naval battles,Lists of battles,battle_type_based,0.4,validated_rebuild_mode=wikitext,insufficient_source_evidence,quarantined
battle_78761681,Carolingian civil war,Carolingian civil war,Carolingian civil war,https://en.wikipedia.org/wiki/Carolingian_civil_war,June 840,,,840,9,0.5,,,,,,,,Defeat,Defeat,defeat,,,,,,,,,,,,,,,,,,,,,war_conflict_article,0.83,battle categories | war/conflict title | war/conflict categories | biography categories,battle categories | war/conflict title | war/conflict categories | biography categories | fallback wikitext extraction,war_conflict,False,29125,840s conflicts | Articles containing Latin-language text | Articles with short description | Civil wars of the Middle Ages | Dissolutions of empires | Military history of the Carolingian Empire | Pages using multiple image with auto scaled images | Short description matches Wikidata | Wars of succession involving the states and peoples of Europe,List of battles 301–1300 | List of battles by geographic location,List of battles 301–1300 | List of battles by geographic location,Lists of battles,list_misc,0.4,validated_rebuild_mode=wikitext,insufficient_source_evidence,quarantined
battle_16362332,Effects of the siege of Leningrad,Effects of the siege of Leningrad,Effects of the siege of Leningrad,https://en.wikipedia.org/wiki/Effects_of_the_siege_of_Leningrad,The 872,,,872,9,0.5,,,,,,,,,,unknown,,,,,,,,,,,,,,,,,,,,,battle_article,0.33,battle-like title | war/conflict categories,battle-like title | war/conflict categories | fallback wikitext extraction,siege,False,21353,All articles needing additional references | All articles with unsourced statements | Articles needing additional references from February 2008 | Articles needing additional references from January 2019 | Articles needing additional references from June 2008 | Articles with short description | Articles with unsourced statements from January 2019 | CS1 Russian-language sources (ru) | CS1 uses Russian-language script (ru) | Commons category link is locally defined | Impacts of wars | Pages with login required references or sources | Short description matches Wikidata | Siege of Leningrad | Wikipedia articles needing clarification from February 2013,Category:Impacts of wars,Category:Impacts of wars,Lists of battles,category_based,0.2,validated_rebuild_mode=wikitext,insufficient_source_evidence|no_infobox_and_no_result,quarantined
battle_55265928,Battle of Caltavuturo,Battle of Caltavuturo,Battle of Caltavuturo,https://en.wikipedia.org/wiki/Battle_of_Caltavuturo,In 880,,,880,9,0.5,,,,,,,,Victory,Victory,victory,,,,,,,,,,,,,,,,,,,,,battle_article,0.83,battle-like title | battle categories | war/conflict categories,battle-like title | battle categories | war/conflict categories | fallback wikitext extraction,land_battle,False,2460,880s conflicts | Articles with short description | Battles involving the Aghlabids | Battles involving the Byzantine Empire | Battles of the Arab–Byzantine wars | CS1 French-language sources (fr) | CS1 German-language sources (de) | CS1 Italian-language sources (it) | CS1 maint: location missing publisher | Coordinates on Wikidata | Muslim conquest of Sicily | Pages using gadget WikiMiniAtlas | Short description matches Wikidata,List of battles 301–1300 | List of battles by geographic location,List of battles 301–1300 | List of battles by geographic location,Lists of battles,list_misc,0.4,validated_rebuild_mode=wikitext,insufficient_source_evidence,quarantined
battle_42020692,Battle of Lüneburg Heath,Battle of Lüneburg Heath,Battle of Lüneburg Heath,https://en.wikipedia.org/wiki/Battle_of_L%C3%BCneburg_Heath,2 February 880,,,880,9,0.5,,,,,,,,Defeat,Defeat,defeat,,,,,,,,,,,,,,,,,,,,,battle_article,0.83,battle-like title | battle categories | war/conflict categories,battle-like title | battle categories | war/conflict categories | fallback wikitext extraction,land_battle,False,1759,880 | 880s conflicts | 9th century in East Francia | All Wikipedia articles written in British English with Oxford spelling | All articles needing coordinates | All articles with incomplete citations | All articles with unsourced statements | All pages needing cleanup | Articles containing Latin-language text | Articles missing coordinates without coordinates on Wikidata | Articles with incomplete citations from November 2024 | Articles with short description | Articles with unsourced statements from December 2020 | Battles involving East Francia | Battles involving the Vikings | CS1: unfit URL | CS1 Latin-language sources (la) | CS1 maint: location | CS1 maint: others | Lower Saxony articles missing geocoordinate data | Military history of Lower Saxony | Short description with empty Wikidata description | Use Oxford spelling from November 2024 | Use dmy dates from December 2020 | Wikipedia articles needing page number citations from November 2024,List of battles 301–1300 | List of battles by geographic location,List of battles 301–1300 | List of battles by geographic location,Lists of battles,list_misc,0.4,validated_rebuild_mode=wikitext,insufficient_source_evidence,quarantined
