display_name,canonical_wikipedia_url,primary_era_bucket,rank_hierarchical_trust_v2,score_hierarchical_trust_v2,trust_tier_v2,trust_confidence_v2,rank_range,top25_appearances,known_outcome_count,total_battle_pages_strict,distinct_conflicts_strict,distinct_opponents_strict,caution_flags,trust_headline_reason_v2
Peng Dehuai,https://en.wikipedia.org/wiki/Peng_Dehuai,cold_war,28.0,80.7535145267104,model_sensitive_band,caution,102.0,0,8,11,6,22,,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Frederick the Great,https://en.wikipedia.org/wiki/Frederick_the_Great,early_modern,29.0,80.29334582942832,model_sensitive_band,caution,163.0,0,24,21,11,17,,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Heinz Guderian,https://en.wikipedia.org/wiki/Heinz_Guderian,world_wars,30.0,80.22961574507967,high_confidence_upper_band,moderate,32.0,1,11,13,9,6,,High-confidence upper-band commander; rank 30 but not stable enough for the headline core.
Charles-Pierre Augereau,https://en.wikipedia.org/wiki/Charles-Pierre_Augereau,revolutionary_napoleonic,31.0,80.22961574507967,model_sensitive_band,caution,168.0,0,26,24,14,29,,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Takeda Shingen,https://en.wikipedia.org/wiki/Takeda_Shingen,early_modern,32.0,80.02999062792877,model_sensitive_band,caution,53.0,2,18,20,4,16,,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Hari Singh Nalwa,https://en.wikipedia.org/wiki/Hari_Singh_Nalwa,long_nineteenth_century,33.0,79.99812558575447,high_confidence_upper_band,moderate,40.0,0,10,10,4,11,,High-confidence upper-band commander; rank 33 but not stable enough for the headline core.
Aurangzeb,https://en.wikipedia.org/wiki/Aurangzeb,early_modern,34.0,79.99718837863168,model_sensitive_band,caution,94.0,0,9,8,10,15,,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Ögedei Khan,https://en.wikipedia.org/wiki/%C3%96gedei_Khan,medieval,35.0,79.54732895970011,model_sensitive_band,caution,183.0,0,12,9,7,7,,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Dwight D. Eisenhower,https://en.wikipedia.org/wiki/Dwight_D._Eisenhower,world_wars,36.0,79.46110590440486,model_sensitive_band,caution,502.0,1,9,5,13,17,higher_level_dependent,"Ranks well enough to monitor, but higher-level evidence dependence keeps this case out of the headline tiers."
Katō Kiyomasa,https://en.wikipedia.org/wiki/Kat%C5%8D_Kiyomasa,early_modern,37.0,79.41799437675726,model_sensitive_band,caution,53.0,1,10,11,5,13,,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Tokugawa Ieyasu,https://en.wikipedia.org/wiki/Tokugawa_Ieyasu,early_modern,38.0,79.38800374882848,model_sensitive_band,caution,153.0,0,12,13,8,13,,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Georgy Zhukov,https://en.wikipedia.org/wiki/Georgy_Zhukov,world_wars,39.0,79.34020618556703,model_sensitive_band,caution,304.0,0,23,17,15,18,,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Mikhail Kutuzov,https://en.wikipedia.org/wiki/Mikhail_Kutuzov,revolutionary_napoleonic,40.0,79.11246485473292,model_sensitive_band,caution,87.0,1,9,11,7,18,,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Stanisław Żółkiewski,https://en.wikipedia.org/wiki/Stanis%C5%82aw_%C5%BB%C3%B3%C5%82kiewski,early_modern,41.0,79.0834114339269,high_confidence_upper_band,moderate,30.0,3,10,11,9,13,,High-confidence upper-band commander; rank 41 but not stable enough for the headline core.
Charles XII of Sweden,https://en.wikipedia.org/wiki/Charles_XII_of_Sweden,early_modern,42.0,79.06466729147141,model_sensitive_band,caution,90.0,0,21,21,5,17,,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Fyodor Tolbukhin,https://en.wikipedia.org/wiki/Fyodor_Tolbukhin,world_wars,43.0,79.01686972820991,model_sensitive_band,caution,138.0,0,11,5,8,13,higher_level_dependent,"Ranks well enough to monitor, but higher-level evidence dependence keeps this case out of the headline tiers."
Nikolai Vatutin,https://en.wikipedia.org/wiki/Nikolai_Vatutin,world_wars,44.0,78.97563261480786,model_sensitive_band,caution,117.0,0,12,8,8,9,higher_level_dependent,"Ranks well enough to monitor, but higher-level evidence dependence keeps this case out of the headline tiers."
Rodion Malinovsky,https://en.wikipedia.org/wiki/Rodion_Malinovsky,world_wars,45.0,78.86035613870665,model_sensitive_band,caution,398.0,0,13,8,10,16,higher_level_dependent,"Ranks well enough to monitor, but higher-level evidence dependence keeps this case out of the headline tiers."
Mustafa Kemal Atatürk,https://en.wikipedia.org/wiki/Mustafa_Kemal_Atat%C3%BCrk,world_wars,46.0,78.66073102155575,model_sensitive_band,caution,163.0,0,22,21,19,33,,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Konstantin Rokossovsky,https://en.wikipedia.org/wiki/Konstantin_Rokossovsky,world_wars,47.0,78.61855670103094,model_sensitive_band,caution,642.0,0,17,10,9,9,higher_level_dependent,"Ranks well enough to monitor, but higher-level evidence dependence keeps this case out of the headline tiers."
Peter Wittgenstein,https://en.wikipedia.org/wiki/Peter_Wittgenstein,revolutionary_napoleonic,48.0,78.55576382380507,model_sensitive_band,caution,70.0,0,14,15,9,12,,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Tolui,https://en.wikipedia.org/wiki/Tolui,medieval,49.0,78.4714151827554,model_sensitive_band,caution,78.0,0,10,7,6,5,,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Fedor von Bock,https://en.wikipedia.org/wiki/Fedor_von_Bock,world_wars,50.0,78.41705716963448,model_sensitive_band,caution,46.0,1,13,13,15,14,,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Jean Victor Marie Moreau,https://en.wikipedia.org/wiki/Jean_Victor_Marie_Moreau,revolutionary_napoleonic,51.0,78.28022492970948,model_sensitive_band,caution,48.0,1,21,22,13,21,,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Ōyama Iwao,https://en.wikipedia.org/wiki/%C5%8Cyama_Iwao,long_nineteenth_century,52.0,78.18931583880037,model_sensitive_band,caution,65.0,1,9,8,5,4,,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Amr ibn al-As,https://en.wikipedia.org/wiki/Amr_ibn_al-As,medieval,53.0,78.00281162136832,model_sensitive_band,moderate,42.0,3,10,12,6,6,,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Mahmud Pasha Angelović,https://en.wikipedia.org/wiki/Mahmud_Pasha_Angelovi%C4%87,medieval,54.0,77.98313027179006,model_sensitive_band,moderate,45.0,3,10,11,10,13,,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Maeda Toshiie,https://en.wikipedia.org/wiki/Maeda_Toshiie,early_modern,55.0,77.9821930646673,model_sensitive_band,caution,64.0,0,10,10,4,11,,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Walter Krueger,https://en.wikipedia.org/wiki/Walter_Krueger,world_wars,56.0,77.98031865042176,model_sensitive_band,caution,54.0,1,12,9,9,3,,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Oliver Cromwell,https://en.wikipedia.org/wiki/Oliver_Cromwell,early_modern,57.0,77.86504217432054,model_sensitive_band,caution,52.0,0,6,15,9,18,,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Abu Ubayda ibn al-Jarrah,https://en.wikipedia.org/wiki/Abu_Ubayda_ibn_al-Jarrah,medieval,58.0,77.29147141518277,model_sensitive_band,caution,63.0,2,13,12,3,7,,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Aleksandr Vasilevsky,https://en.wikipedia.org/wiki/Aleksandr_Vasilevsky,world_wars,59.0,77.25679475164013,model_sensitive_band,caution,196.0,0,9,4,5,16,higher_level_dependent,"Ranks well enough to monitor, but higher-level evidence dependence keeps this case out of the headline tiers."
Saladin,https://en.wikipedia.org/wiki/Saladin,medieval,60.0,77.2464854732896,model_sensitive_band,caution,81.0,1,11,21,5,18,,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Claude-Victor Perrin,https://en.wikipedia.org/wiki/Claude-Victor_Perrin,revolutionary_napoleonic,61.0,77.14339268978445,model_sensitive_band,caution,596.0,0,22,26,12,26,,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Francis Vere,https://en.wikipedia.org/wiki/Francis_Vere,early_modern,62.0,77.11527647610122,model_sensitive_band,caution,55.0,2,17,18,8,5,,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Philip the Good,https://en.wikipedia.org/wiki/Philip_the_Good,medieval,63.0,77.06747891283976,model_sensitive_band,moderate,45.0,1,8,8,5,9,,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
John III Sobieski,https://en.wikipedia.org/wiki/John_III_Sobieski,early_modern,64.0,77.01312089971884,model_sensitive_band,caution,51.0,0,10,10,8,14,,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Sayenqueraghta,https://en.wikipedia.org/wiki/Sayenqueraghta,early_modern,65.0,76.91752577319589,model_sensitive_band,caution,117.0,0,9,7,7,8,,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Petar Bojović,https://en.wikipedia.org/wiki/Petar_Bojovi%C4%87,long_nineteenth_century,66.0,76.91181818181818,model_sensitive_band,caution,255.0,2,7,4,7,9,higher_level_dependent,"Ranks well enough to monitor, but higher-level evidence dependence keeps this case out of the headline tiers."
George S. Patton,https://en.wikipedia.org/wiki/George_S._Patton,world_wars,67.0,76.86129334582941,model_sensitive_band,caution,243.0,0,10,6,11,8,,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Ahmad Shah Durrani,https://en.wikipedia.org/wiki/Ahmad_Shah_Durrani,early_modern,68.0,76.76194939081537,model_sensitive_band,caution,68.0,0,9,9,8,15,,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
"François-Henri de Montmorency, duc de Luxembourg",https://en.wikipedia.org/wiki/Fran%C3%A7ois-Henri_de_Montmorency%2C_duc_de_Luxembourg,early_modern,69.0,76.60168697282099,model_sensitive_band,caution,51.0,1,7,10,4,11,,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Ernst Gideon von Laudon,https://en.wikipedia.org/wiki/Ernst_Gideon_von_Laudon,early_modern,70.0,76.56982193064667,model_sensitive_band,caution,311.0,0,11,9,6,8,,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Živojin Mišić,https://en.wikipedia.org/wiki/%C5%BDivojin_Mi%C5%A1i%C4%87,world_wars,71.0,76.51545454545455,model_sensitive_band,caution,279.0,1,7,5,8,8,,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Kirill Meretskov,https://en.wikipedia.org/wiki/Kirill_Meretskov,world_wars,72.0,76.47235238987817,model_sensitive_band,caution,621.0,0,10,4,10,11,higher_level_dependent,"Ranks well enough to monitor, but higher-level evidence dependence keeps this case out of the headline tiers."
"Édouard Mortier, Duke of Treviso",https://en.wikipedia.org/wiki/%C3%89douard_Mortier%2C_Duke_of_Treviso,revolutionary_napoleonic,73.0,76.4208059981256,model_sensitive_band,caution,142.0,0,18,18,13,22,,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Nader Shah,https://en.wikipedia.org/wiki/Nader_Shah,early_modern,74.0,76.33833177132148,model_sensitive_band,caution,132.0,0,16,17,10,26,,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Ferdinand Foch,https://en.wikipedia.org/wiki/Ferdinand_Foch,world_wars,75.0,76.3045923149016,model_sensitive_band,caution,59.0,0,15,18,9,4,,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Ivan Konev,https://en.wikipedia.org/wiki/Ivan_Konev,world_wars,76.0,75.9597000937207,model_sensitive_band,caution,302.0,0,17,16,13,14,,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Babur,https://en.wikipedia.org/wiki/Babur,early_modern,77.0,75.88940955951267,model_sensitive_band,caution,99.0,1,7,11,7,13,,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Michel Ney,https://en.wikipedia.org/wiki/Michel_Ney,revolutionary_napoleonic,78.0,75.65979381443299,model_sensitive_band,caution,701.0,0,32,38,15,34,,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Jan Karol Chodkiewicz,https://en.wikipedia.org/wiki/Jan_Karol_Chodkiewicz,early_modern,79.0,75.50609184629803,model_sensitive_band,caution,53.0,0,10,12,7,11,,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Jassa Singh Ahluwalia,https://en.wikipedia.org/wiki/Jassa_Singh_Ahluwalia,early_modern,80.0,75.39737582005624,model_sensitive_band,moderate,43.0,0,8,10,8,8,,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Bertrand du Guesclin,https://en.wikipedia.org/wiki/Bertrand_du_Guesclin,medieval,81.0,75.2427366447985,model_sensitive_band,caution,93.0,0,9,8,7,13,,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Joseph Stalin,https://en.wikipedia.org/wiki/Joseph_Stalin,world_wars,82.0,75.19868791002811,model_sensitive_band,caution,1120.0,0,10,5,14,26,higher_level_dependent,"Ranks well enough to monitor, but higher-level evidence dependence keeps this case out of the headline tiers."
Suleiman the Magnificent,https://en.wikipedia.org/wiki/Suleiman_the_Magnificent,early_modern,83.0,74.97000937207123,model_sensitive_band,caution,186.0,1,16,16,13,36,,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Murad II,https://en.wikipedia.org/wiki/Murad_II,medieval,84.0,74.89784442361763,model_sensitive_band,caution,248.0,0,11,12,10,15,,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Ivan Bagramyan,https://en.wikipedia.org/wiki/Ivan_Bagramyan,world_wars,85.0,74.87535145267104,model_sensitive_band,caution,309.0,0,10,4,6,6,higher_level_dependent,"Ranks well enough to monitor, but higher-level evidence dependence keeps this case out of the headline tiers."
Gustavus Adolphus,https://en.wikipedia.org/wiki/Gustavus_Adolphus,early_modern,86.0,74.7572633552015,model_sensitive_band,caution,125.0,0,12,16,11,14,,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Carl Gustaf Wrangel,https://en.wikipedia.org/wiki/Carl_Gustaf_Wrangel,early_modern,87.0,74.70384254920339,model_sensitive_band,caution,50.0,0,8,9,8,13,,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Michiel de Ruyter,https://en.wikipedia.org/wiki/Michiel_de_Ruyter,early_modern,88.0,74.53889409559511,model_sensitive_band,caution,150.0,0,11,10,10,11,,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Prince Rupert of the Rhine,https://en.wikipedia.org/wiki/Prince_Rupert_of_the_Rhine,early_modern,89.0,74.41049671977505,model_sensitive_band,caution,307.0,0,15,22,13,13,,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Yamagata Aritomo,https://en.wikipedia.org/wiki/Yamagata_Aritomo,long_nineteenth_century,90.0,74.39727272727274,model_sensitive_band,caution,209.0,0,6,6,7,9,,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Ambrogio Spinola,https://en.wikipedia.org/wiki/Ambrogio_Spinola,early_modern,91.0,74.18650421743205,model_sensitive_band,caution,146.0,0,8,8,9,11,,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Laurent de Gouvion Saint-Cyr,https://en.wikipedia.org/wiki/Laurent_de_Gouvion_Saint-Cyr,revolutionary_napoleonic,92.0,73.98031865042175,model_sensitive_band,caution,252.0,0,16,18,13,17,,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Zubayr ibn al-Awwam,https://en.wikipedia.org/wiki/Zubayr_ibn_al-Awwam,medieval,93.0,73.69353327085287,model_sensitive_band,caution,124.0,0,8,9,6,11,,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Guru Gobind Singh,https://en.wikipedia.org/wiki/Guru_Gobind_Singh,early_modern,94.0,73.630740393627,model_sensitive_band,caution,118.0,0,13,16,7,16,,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Date Masamune,https://en.wikipedia.org/wiki/Date_Masamune,early_modern,95.0,73.61818181818182,model_sensitive_band,caution,94.0,0,6,6,7,8,,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Lennart Torstensson,https://en.wikipedia.org/wiki/Lennart_Torstensson,early_modern,96.0,73.61105904404874,model_sensitive_band,caution,99.0,1,8,10,3,11,,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Honda Tadakatsu,https://en.wikipedia.org/wiki/Honda_Tadakatsu,early_modern,97.0,73.56513589503281,model_sensitive_band,caution,100.0,0,9,9,4,10,,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
François Joseph Lefebvre,https://en.wikipedia.org/wiki/Fran%C3%A7ois_Joseph_Lefebvre,revolutionary_napoleonic,98.0,73.4461105904405,model_sensitive_band,caution,674.0,0,11,11,9,12,,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
"Louis, Grand Condé",https://en.wikipedia.org/wiki/Louis%2C_Grand_Cond%C3%A9,early_modern,99.0,73.43205248359888,model_sensitive_band,caution,281.0,0,10,11,9,15,,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Skanderbeg,https://en.wikipedia.org/wiki/Skanderbeg,medieval,100.0,73.26897844423618,model_sensitive_band,caution,68.0,0,10,15,6,8,,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
