requested_era,support_band,display_name,canonical_wikipedia_url,primary_era_bucket,best_rank,mean_rank,top25_appearances,rank_baseline_conservative,rank_hierarchical_trust_v2,rank_hierarchical_weighted,rank_signature,trust_confidence_v2,stability_label,caution_flags,recommendation_note,caveat_note
early_modern,robust_elite_core,"Maurice, Prince of Orange",https://en.wikipedia.org/wiki/Maurice%2C_Prince_of_Orange,early_modern,7.0,10.5,6,7.0,12.0,13.0,"B0=7, B1=14, HT=12, H=13, HF=13, HE=10, HB=7",very_high,core_stable,,"Best-supported early modern candidate; rank signature B0=7, B1=14, HT=12, H=13, HF=13, HE=10, HB=7.",Trust-first v2 rank 12 with very_high confidence; Top-25 in 6 trusted models and rank spread 7.
medieval,model_sensitive_band,Amr ibn al-As,https://en.wikipedia.org/wiki/Amr_ibn_al-As,medieval,11.0,28.333333333333332,3,13.0,54.0,33.0,"B0=13, B1=11, HT=54, H=33, HF=33, HE=36, HB=23",moderate,highly_model_sensitive,,"Useful as an audit case for the era, not as a secure top-tier conclusion; rank signature B0=13, B1=11, HT=54, H=33, HF=33, HE=36, HB=23.",The era signal is still model-sensitive; treat this as a provisional inclusion rather than a headline conclusion.
medieval,model_sensitive_band,Abu Ubayda ibn al-Jarrah,https://en.wikipedia.org/wiki/Abu_Ubayda_ibn_al-Jarrah,medieval,10.0,42.666666666666664,2,10.0,60.0,56.0,"B0=10, B1=15, HT=60, H=56, HF=55, HE=79, HB=36",caution,highly_model_sensitive,,"Useful as an audit case for the era, not as a secure top-tier conclusion; rank signature B0=10, B1=15, HT=60, H=56, HF=55, HE=79, HB=36.",The era signal is still model-sensitive; treat this as a provisional inclusion rather than a headline conclusion.
medieval,model_sensitive_band,Philip the Good,https://en.wikipedia.org/wiki/Philip_the_Good,medieval,21.0,48.166666666666664,1,55.0,62.0,45.0,"B0=55, B1=69, HT=62, H=45, HF=66, HE=21, HB=37",caution,highly_model_sensitive,,"Useful as an audit case for the era, not as a secure top-tier conclusion; rank signature B0=55, B1=69, HT=62, H=45, HF=66, HE=21, HB=37.",The era signal is still model-sensitive; treat this as a provisional inclusion rather than a headline conclusion.
medieval,model_sensitive_band,Emperor Taizong of Tang,https://en.wikipedia.org/wiki/Emperor_Taizong_of_Tang,medieval,20.0,79.0,1,,28.0,20.0,"B0=NA, B1=237, HT=28, H=20, HF=31, HE=42, HB=68",caution,highly_model_sensitive,,"Useful as an audit case for the era, not as a secure top-tier conclusion; rank signature B0=NA, B1=237, HT=28, H=20, HF=31, HE=42, HB=68.",The era signal is still model-sensitive; treat this as a provisional inclusion rather than a headline conclusion.
medieval,robust_elite_core,Subutai,https://en.wikipedia.org/wiki/Subutai,medieval,4.0,11.333333333333334,5,14.0,7.0,8.0,"B0=14, B1=28, HT=7, H=8, HF=9, HE=7, HB=4",high,model_sensitive,,"Best-supported medieval candidate; rank signature B0=14, B1=28, HT=7, H=8, HF=9, HE=7, HB=4.",Trust-first v2 rank 7 with high confidence; Top-25 in 5 trusted models and rank spread 24.
modern,model_sensitive_band,Ivan Paskevich,https://en.wikipedia.org/wiki/Ivan_Paskevich,long_nineteenth_century,3.0,23.5,4,46.0,13.0,6.0,"B0=46, B1=57, HT=13, H=6, HF=5, HE=16, HB=3",caution,highly_model_sensitive,,"Useful as an audit case for the era, not as a secure top-tier conclusion; rank signature B0=46, B1=57, HT=13, H=6, HF=5, HE=16, HB=3.",The era signal is still model-sensitive; treat this as a provisional inclusion rather than a headline conclusion.
modern,model_sensitive_band,Douglas MacArthur,https://en.wikipedia.org/wiki/Douglas_MacArthur,world_wars,4.0,25.166666666666668,4,44.0,4.0,4.0,"B0=44, B1=78, HT=4, H=4, HF=4, HE=4, HB=17",caution,highly_model_sensitive,,"Useful as an audit case for the era, not as a secure top-tier conclusion; rank signature B0=44, B1=78, HT=4, H=4, HF=4, HE=4, HB=17.",The era signal is still model-sensitive; treat this as a provisional inclusion rather than a headline conclusion.
modern,robust_elite_core,Alexander Suvorov,https://en.wikipedia.org/wiki/Alexander_Suvorov,revolutionary_napoleonic,1.0,2.5,6,4.0,1.0,1.0,"B0=4, B1=5, HT=1, H=1, HF=1, HE=3, HB=1",high,core_stable,,"Best-supported modern candidate; rank signature B0=4, B1=5, HT=1, H=1, HF=1, HE=3, HB=1.",Trust-first v2 rank 1 with high confidence; Top-25 in 6 trusted models and rank spread 4.
modern,robust_elite_core,Napoleon Bonaparte,https://en.wikipedia.org/wiki/Napoleon,revolutionary_napoleonic,1.0,3.0,6,3.0,3.0,2.0,"B0=3, B1=3, HT=3, H=2, HF=2, HE=1, HB=6",very_high,core_stable,,"Best-supported modern candidate; rank signature B0=3, B1=3, HT=3, H=2, HF=2, HE=1, HB=6.",Trust-first v2 rank 3 with very_high confidence; Top-25 in 6 trusted models and rank spread 5.
modern,robust_elite_core,Jean Lannes,https://en.wikipedia.org/wiki/Jean_Lannes,revolutionary_napoleonic,2.0,10.166666666666666,6,2.0,10.0,11.0,"B0=2, B1=2, HT=10, H=11, HF=12, HE=17, HB=19",high,stable,,"Best-supported modern candidate; rank signature B0=2, B1=2, HT=10, H=11, HF=12, HE=17, HB=19.",Trust-first v2 rank 10 with high confidence; Top-25 in 6 trusted models and rank spread 17.
modern,robust_elite_core,Charles XIV John,https://en.wikipedia.org/wiki/Charles_XIV_John,revolutionary_napoleonic,5.0,10.666666666666666,6,15.0,6.0,9.0,"B0=15, B1=13, HT=6, H=9, HF=8, HE=5, HB=16",high,stable,,"Best-supported modern candidate; rank signature B0=15, B1=13, HT=6, H=9, HF=8, HE=5, HB=16.",Trust-first v2 rank 6 with high confidence; Top-25 in 6 trusted models and rank spread 11.
modern,robust_elite_core,Louis-Nicolas Davout,https://en.wikipedia.org/wiki/Louis-Nicolas_Davout,revolutionary_napoleonic,8.0,13.166666666666666,6,21.0,9.0,10.0,"B0=21, B1=8, HT=9, H=10, HF=94, HE=11, HB=20",high,stable,,"Best-supported modern candidate; rank signature B0=21, B1=8, HT=9, H=10, HF=94, HE=11, HB=20.",Trust-first v2 rank 9 with high confidence; Top-25 in 6 trusted models and rank spread 13.
modern,strong_upper_tier,André Masséna,https://en.wikipedia.org/wiki/Andr%C3%A9_Mass%C3%A9na,revolutionary_napoleonic,19.0,29.833333333333332,2,22.0,19.0,28.0,"B0=22, B1=34, HT=19, H=28, HF=19, HE=33, HB=43",high,model_sensitive,,"Belongs in the era shortlist, but the case depends on model choice; rank signature B0=22, B1=34, HT=19, H=28, HF=19, HE=33, HB=43.","Upper-tier contender with high confidence; rank 19 and enough scale (37 known outcomes, 40 battle pages) to remain defensible under the trust-first model."
