battle_id,battle_name,battle_name_normalized,wikipedia_title,source_url,date_raw,start_date,end_date,year,century,date_parse_confidence,war_name,campaign_name,location_raw,location_normalized,latitude,longitude,present_day_country,result_raw,result_normalized,result_type,belligerent_1_raw,belligerent_2_raw,belligerent_3_raw,commander_side_a_raw,commander_side_b_raw,commander_side_c_raw,strength_side_a_raw,strength_side_b_raw,strength_side_c_raw,casualties_side_a_raw,casualties_side_b_raw,casualties_side_c_raw,strength_side_a_min,strength_side_a_max,strength_side_b_min,strength_side_b_max,casualties_side_a_min,casualties_side_a_max,casualties_side_b_min,casualties_side_b_max,page_type,page_type_confidence,classification_notes,acceptance_reason,battle_type,infobox_present,text_length,categories,list_page_origin,parent_list_page,discovery_root,source_family,extraction_confidence,notes,removal_reason,validation_status
battle_53663946,1954 Paraguayan coup d'état,1954 Paraguayan coup d'état,1954 Paraguayan coup d'état,https://en.wikipedia.org/wiki/1954_Paraguayan_coup_d%27%C3%A9tat,4 – 7 May 1954 (),1954-04-04,1954-05-07,1954,20,1.0,the Cold War,,"Asunción, Paraguay","Asunción, Paraguay",,,,Overthrow of Federico Chávez Alfredo Stroessner becomes president later in the year,Unknown,unknown,Paraguay Government of Paraguay,"Paraguay Paraguayan Army
Bandera Partido Colorado de Paraguay.svg Colorado Party",,"Paraguay Federico Chávez
Col. Néstor Ferreira
Dr. Roberto Pettit","Paraguay Gen. Alfredo StroessnerEpifanio Méndez FleitasGen. Marcial Samaniego
Lt. Col. Mario Ortega",,,,,,,25 killed,,,,,,,,,battle_article,0.5,battle categories | war/conflict categories,battle categories | war/conflict categories | fallback wikitext extraction,land_battle,True,4868,1950s coups d'état | 1954 in Paraguay | Articles with short description | Conflicts in 1954 | May 1954 in South America | Military coups in Paraguay | Military history of Paraguay | Political history of Paraguay | Short description matches Wikidata,List of conflicts in South America | List of wars: 1945–1989,List of conflicts in South America | List of wars: 1945–1989,Lists of battles,war_conflict_based,1.0,recovery_mode=fallback_wikitext,list_page,removed_false_positive
battle_2907023,Escambray rebellion,Escambray rebellion,Escambray rebellion,https://en.wikipedia.org/wiki/Escambray_rebellion,1959–1965,1959-04-01,1965-04-01,1959.0,20.0,1.0,the consolidation of the Cuban Revolution,,"Escambray Mountains, Cuba","Escambray Mountains, Cuba",,,,Cuban government victory,Victory,victory,"Cuba Insurgents:
Anti-communists
Batistianos
United States","Cuba
Soviet Union",,"Cuba Osvaldo Ramírez
Cuba Tomás San Gil
Cuba Julio Emilio Carretero
Cuba Cheito León
Cuba Manolo López López
Flag of the Revolutionary Directorate.svg William A. Morgan
Flag of the Revolutionary Directorate.svg Eloy Gutiérrez Menoyo
Sinesio WalshBrown 2017","Cuba Fidel Castro
Cuba Lizardo Proenza
Cuba Raúl Menéndez Tomassevich
Cuba Manuel FajardoBrown 2017
USSR Francisco Ciutat de Miguel",,"2,000Brown 2017–3,995 combatants
6,000+ collaboratorsBrown 2017","250,000 (armed forces and militia)",,"2,000–3,000 killed
5,000 captured","Armed Forces:
500 soldiers killed
1,000+ soldiers wounded
Militia:
3,500 killed","1,000–7,000 total deaths",2.0,6000.0,250000.0,250000.0,2000.0,5000.0,500.0,3500.0,war_conflict_article,0.83,battle-like title | battle categories | war/conflict title | war/conflict categories | biography categories,battle-like title | battle categories | war/conflict title | war/conflict categories | biography categories | fallback wikitext extraction,uprising,True,8649,1959 establishments in Cuba | 1959 in Cuba | 1960 in Cuba | 1960s in Cuba | 1961 in Cuba | 1962 in Cuba | 1963 in Cuba | 1964 in Cuba | 1965 disestablishments in Cuba | 1965 in Cuba | 20th-century rebellions | Aftermath of the Cuban Revolution | Anti-communist guerrilla organizations | Articles containing Spanish-language text | Articles with short description | CIA activities in Cuba | CS1 maint: deprecated archival service | Cienfuegos Province | Civil wars involving the states and peoples of North America | Civil wars of the 20th century | Cold War rebellions | Conflicts in 1959 | Conflicts in 1960 | Conflicts in 1961 | Conflicts in 1962 | Conflicts in 1963 | Conflicts in 1964 | Conflicts in 1965 | Counter-revolution | Insurgencies | Opposition to Fidel Castro | Peasant revolts | Rebellions in Cuba | Sancti Spíritus Province | Short description matches Wikidata | Use dmy dates from October 2021 | Villa Clara Province | Wars involving Cuba | Wikipedia articles needing page number citations from April 2023,List of conflicts in North America,List of conflicts in North America,Lists of battles,war_conflict_based,1.0,recovery_mode=fallback_wikitext,generic_category_signal,removed_false_positive
battle_71061268,1961 Lebanese coup attempt,1961 Lebanese coup attempt,1961 Lebanese coup attempt,https://en.wikipedia.org/wiki/1961_Lebanese_coup_attempt,"December 31, 1961",1961-12-31,1961-12-31,1961,20,1.0,1961 Lebanese coup attempt,,Lebanon,Lebanon,,,,Lebanese Government victory; Coup attempt fails,Victory,victory,"Flag of Lebanon (1943-1990).svg Lebanese Government
Flag of Lebanon (1943-1990).svg Lebanese Armed Forces",Flag of the Syrian Social Nationalist Party.svg SSNP-L,,"Flag of Lebanon (1943-1990).svg Fouad Chehab
Flag of Lebanon (1943-1990).svg Antoine Saad","Flag of the Syrian Social Nationalist Party.svg Chawki Khairallah
Flag of the Syrian Social Nationalist Party.svg Fouad Awad
Flag of the Syrian Social Nationalist Party.svg Abdullah Saadeh",,,,,,,,,,,,,,,,battle_article,0.5,battle categories | war/conflict categories,battle categories | war/conflict categories | fallback wikitext extraction,uprising,True,2407,1960s coups d'état | 1961 in Lebanon | 1962 in Lebanon | Articles with short description | Attempted coups d'état in Lebanon | Conflicts in 1961 | December 1961 | Fascist revolts | Military history of Lebanon | Short description matches Wikidata | Syrian Social Nationalist Party,List of conflicts in Asia,List of conflicts in Asia,Lists of battles,war_conflict_based,1.0,recovery_mode=fallback_wikitext,list_page,removed_false_positive
battle_2565925,Eritrean Liberation Front,Eritrean Liberation Front,Eritrean Liberation Front,https://en.wikipedia.org/wiki/Eritrean_Liberation_Front,During 1961,,,1961,20,0.5,,,,,,,,"The EPLF ultimately overtook the ELF as the primary Eritrean independence movement by 1977, and the ELF was subsequently defeated in 1981.",Defeat,defeat,,,,,,,,,,,,,,,,,,,,,campaign_article,0.5,campaign signals,campaign signals | fallback wikitext extraction,campaign_like_engagement,True,21518,All articles needing additional references | All articles with unsourced statements | Articles containing Arabic-language text | Articles containing Italian-language text | Articles containing Tigrinya-language text | Articles needing additional references from December 2012 | Articles with short description | Articles with unsourced statements from December 2023 | CS1: unfit URL | Eritrean War of Independence | Eritrean nationalism | Factions of the Ethiopian Civil War | Guerrilla organizations | Islam in Eritrea | Marxist parties in Eritrea | National liberation movements in Africa | Organizations established in 1960 | Pages using infobox militant organization with conflicting parameters | Pages using infobox militant organization with unknown parameters | Rebel groups in Eritrea | Rebel groups in Ethiopia | Short description matches Wikidata,List of wars: 1945–1989,List of wars: 1945–1989,Lists of battles,war_conflict_based,0.6,recovery_mode=fallback_wikitext,generic_category_signal,removed_false_positive
battle_7295983,Battle of Karameh,Battle of Karameh,Battle of Karameh,https://en.wikipedia.org/wiki/Battle_of_Karameh,21 March 1968,1968-03-21,1968-03-21,1968.0,20.0,1.0,the War of Attrition and the Israeli–Palestinian conflict,,"Karameh, Jordan","Karameh, Jordan",31.95,35.58,,Both sides claim victory Destruction of Karameh camp Israel fails to capture Yasser Arafat Israeli withdrawal from Karameh; repulsed in other axes,Victory,victory,Israel Israel,"Jordan Jordan
PLO Palestine Liberation Organization
Fatah
21px PLA",,"Israel Levi Eshkol
Israel Uzi Narkiss
Israel Moshe Dayan
Israel Haim Bar-Lev
Israel Israel Tal
Israel Shmuel Gonen
Israel Danny Matt
Israel Rafael Eitan","Jordan King Hussein
Jordan Amer Khammash
Jordan Mashour Haditha
Jordan Asad Ghanma
PLO Yasser Arafat
PLO Abu Iyad
PLO Abu Jihad
PLO Abu Ali Iyad",,"Israel About 15,000
47 tanks
(1 armored brigade
1 infantry brigade
1 paratroop battalion
1 engineering battalion
5 artillery battalions)","Jordan 2nd armored division
(10 artillery batteries
4 brigades
1 Patton tank battalion)
PLO 900–1000 fighters",,"Israel:
28– 33 dead
69 – 161 wounded
27 tanks damaged, 4 left behind
2 APCs
2 vehicles
1 aircraft","Jordan:
40–84 dead
108– 250 wounded
4 captured
28 tanks damaged, 2 captured
PLO:
156 dead
~100 wounded
141 captured",175 buildings destroyed,1.0,15000.0,1.0,1000.0,1.0,161.0,2.0,250.0,battle_article,0.83,battle-like title | battle categories | campaign signals | war/conflict categories,battle-like title | battle categories | campaign signals | war/conflict categories | fallback wikitext extraction,land_battle,True,23188,1968 in Jordan | All articles with dead external links | Articles containing Arabic-language text | Articles with dead external links from March 2023 | Articles with permanently dead external links | Articles with short description | Battles and operations of the War of Attrition | Battles involving Jordan | CS1: long volume value | CS1 Arabic-language sources (ar) | CS1 Hebrew-language sources (he) | CS1 maint: deprecated archival service | CS1 uses Arabic-language script (ar) | CS1 uses Hebrew-language script (he) | Commons category link is on Wikidata | Conflicts in 1968 | Coordinates on Wikidata | Good articles | Improvised explosive device bombings in the 1960s | March 1968 in Asia | Military operations involving the Palestine Liberation Organization | Pages containing links to subscription-only content | Pages using gadget WikiMiniAtlas | Short description is different from Wikidata | Suicide bombing in the Israeli–Palestinian conflict | Suicide bombings in Jordan | Tank battles involving Israel | Use dmy dates from March 2018 | Wikipedia extended-confirmed-protected pages,List of battles 1901–2000,List of battles 1901–2000,Lists of battles,list_misc,1.0,recovery_mode=fallback_wikitext,generic_category_signal,removed_false_positive
battle_35391139,Palestinian insurgency in South Lebanon,Palestinian insurgency in South Lebanon,Palestinian insurgency in South Lebanon,https://en.wikipedia.org/wiki/Palestinian_insurgency_in_South_Lebanon,1968–1982 (14 years),1968-04-01,1982-04-01,1968.0,20.0,1.0,"the Israeli–Palestinian conflict , the Lebanese Civil War , and the Arab Cold War",,South Lebanon North Israel,South Lebanon North Israel,,,,"Israeli victory Expulsion of the Palestine Liberation Organization from Lebanese territory to Tunisia , after Israel's invasion of Lebanon in 1982 Beginning of the South Lebanon conflict in 1985",Victory,victory,Israel South Lebanon Army Lebanese Forces,Palestine Liberation Organization Syria Lebanese National Movement Lebanese National Resistance Front Supported by: Soviet Union [ 1 ],,1982: Menachem Begin Ariel Sharon Rafael Eitan Saad Haddad Antoine Lahad Bachir Gemayel X,1982: Yasser Arafat Hafez al-Assad Mustafa Tlass Rifaat al-Assad Hikmat al-Shihabi Kamal Jumblatt X Walid Jumblatt,,"1982: 78,000 5,000 30,000","1982: 15,000 22,000 25,000",,,,,1982.0,78000.0,1982.0,25000.0,,,,,war_conflict_article,0.67,battle infobox structure | campaign signals | war/conflict title,battle infobox structure | campaign signals | war/conflict title,war_conflict,True,17787,CS1_French-language_sources_(fr) | Articles_with_short_description | Short_description_is_different_from_Wikidata | Wikipedia_extended-confirmed-protected_pages | Use_dmy_dates_from_February_2024 | Use_Oxford_spelling_from_October_2023 | All_Wikipedia_articles_written_in_British_English_with_Oxford_spelling | Palestinian_insurgency_in_South_Lebanon | Military_operations_of_the_Lebanese_Civil_War | Military_operations_involving_the_Palestine_Liberation_Organization | Wars_involving_Palestinians | Wars_involving_Israel | 20th_century_in_Lebanon | Palestinian_political_violence,List of conflicts in Asia | List of wars: 1945–1989,List of conflicts in Asia | List of wars: 1945–1989,Lists of battles,war_conflict_based,1.0,,generic_category_signal,removed_false_positive
battle_67470740,1972 invasion of Uganda,1972 invasion of Uganda,1972 invasion of Uganda,https://en.wikipedia.org/wiki/1972_invasion_of_Uganda,September 1972,1972-09-01,1972-09-01,1972,20,1.0,1972 invasion of Uganda,,Southern Uganda,Southern Uganda,,,,Ugandan government victory,Victory,victory,"Second Republic of Uganda
Libyan Arab Republic
Palestine Palestine Liberation Organization (PLO)","Uganda Ugandan rebels
People's Army
UPC supporters
Tanzania",,"Second Republic of Uganda Idi Amin
Second Republic of Uganda Ali Fadhul
Second Republic of Uganda Yusuf Gowon
Second Republic of Uganda Isaac Maliyamungu","Uganda Milton Obote
Uganda David Oyite-Ojok
Uganda Tito Okello
Uganda Captain Anach
Uganda Captain Oyile
Uganda Lieutenant Okot
Uganda Yoweri Museveni
Tanzania Julius Nyerere",,"Second Republic of Uganda Thousands
Libyan Arab Republic 399
Palestine Small","1,340–1,500",,Light,Hundreds killed,"150 Ugandan civilians killed in combat; hundreds executed afterwards
9–20 Tanzanian civilians killed
1 American civilian killed",399,399,1340,1500,,,,,operation_article,0.5,battle categories | campaign signals | war/conflict categories,battle categories | campaign signals | war/conflict categories | fallback wikitext extraction,uprising,True,29408,1972 in Uganda | 20th-century mass murders in Uganda | 20th-century rebellions | Articles with short description | CS1 German-language sources (de) | Conflicts in 1972 | Idi Amin | Invasions | Massacres in 1972 | Military operations involving the Palestine Liberation Organization | Milton Obote | Pages using multiple image with auto scaled images | September 1972 in Africa | Short description matches Wikidata | Tanzania–Uganda relations | Wars involving Libya | Wars involving Tanzania | Wars involving Uganda,List of conflicts in Africa | List of wars: 1945–1989,List of conflicts in Africa | List of wars: 1945–1989,Lists of battles,war_conflict_based,1.0,recovery_mode=fallback_wikitext,generic_category_signal,removed_false_positive
battle_20989,Munich massacre,Munich massacre,Munich massacre,https://en.wikipedia.org/wiki/Munich_massacre,5–6 September 1972,1972-04-05,1972-09-06,1972.0,20.0,1.0,the Israeli–Palestinian conflict,,"Munich, Bavaria, West Germany","Munich, Bavaria, West Germany",48.17972222,11.54916667,,,,unknown,,,,,,,,,,,,,,,,,,,,,battle_article,0.67,battle-like title | biography categories | battle-like title only,battle-like title | biography categories | battle-like title only | fallback wikitext extraction,massacre,True,78933,1970s in Munich | 1972 in Israel | 1972 in Palestine | 1972 in West Germany | 1972 in international relations | 1972 mass shootings in Europe | 1972 murders in Germany | 20th-century mass murders in Germany | All Wikipedia articles written in British English | All articles with dead external links | All articles with unsourced statements | Antisemitism in Egypt | Antisemitism in Germany | Articles containing German-language text | Articles with dead external links from March 2023 | Articles with permanently dead external links | Articles with short description | Articles with unsourced statements from September 2025 | Black September Organization attacks | CS1 German-language sources (de) | Cold War history of Germany | Commons category link is on Wikidata | Coordinates on Wikidata | Crimes adapted into films | Deaths by firearm in Germany | Germany–Israel relations | Germany–Palestine relations | Hostage taking in Germany | Israel at the Summer Olympics | Israel–West Germany relations | Jewish sports history | Kidnappings in Germany | Massacres committed by the Palestine Liberation Organization | Massacres in 1972 | Massacres in Germany | Munich massacre | Murder in Munich | Olympic Games controversies | Olympic deaths | Pages using gadget WikiMiniAtlas | Palestinian terrorist incidents in Germany | Politics and sports | September 1972 | September 1972 in Europe | Short description is different from Wikidata | Sports-related accidents and incidents | Terrorist incidents in Bavaria | Terrorist incidents in Europe in 1972 | Terrorist incidents in Germany in 1972 | Terrorist incidents in Germany in the 1970s | Use British English from November 2024 | Use dmy dates from October 2024 | Webarchive template wayback links | Wikipedia articles needing page number citations from February 2012 | Wikipedia articles needing page number citations from October 2012 | Wikipedia extended-confirmed-protected pages,List of sieges,List of sieges,Lists of battles,battle_type_based,0.4,recovery_mode=fallback_wikitext,generic_category_signal,removed_false_positive
battle_312905,Lebanese Civil War,Lebanese Civil War,Lebanese Civil War,https://en.wikipedia.org/wiki/Lebanese_Civil_War,13 April 1975 – 13 October 1990The last battle took place from 2–6 July 1991 between the Lebanese government and the Palestine Liberation Organization due to the latter's refusal to accept the Taif Agreement. (),1975-04-13,,1975.0,20.0,0.75,"the Cold War and Arab Cold War Arab–Israeli (Israeli–Lebanese, Israeli–Palestinian, and Israeli–Syrian) conflicts Iran–Israel, Iran–Saudi, Iran–Iraq and Iraq–Syria proxy wars",,Lebanon,Lebanon,,,,"Taif Agreement Christian-to-Muslim representation in Parliament of Lebanon adjusted from ratio of 55:45 to 50:50 and increasing the number of seats from 99 to 108 – and eventually to 128 Political powers of Muslim-reserved position of Prime Minister strengthened over Christian-reserved position of President Disarmament of all Lebanese and non-Lebanese militias, excluding Iran-backed Hezbollah Continued hostilities between Lebanon and the Palestine Liberation Organization (PLO), and PLO expulsion to Tunis, Tunisia in 1982. Expulsion of Palestinian militias from Lebanon after the Battle of Sidon in 1991 Collapse of the Israel-backed State of Free Lebanon in 1984 and of Israel's South Lebanon security belt administration in 2000 Continued fighting between Israel and Hezbollah in the Shebaa Farms conflict, eventually leading to the 2006 Lebanon War Dominance of Hezbollah armed strength across Lebanon since 1990",Unknown,unknown,"Flag of the Lebanese Front.svg Lebanese Front (1976–1990)
Flag of Kataeb Party.svg Kataeb Party
Ahrar flag.gif National Liberal Party (NLP) (until 1980)
Flag of the Lebanese Forces.svg Lebanese Forces (LF)
Marada-flag.png Marada Brigade (until 1978)
Flag of the Guardians of the Cedars.svg Guardians of the Cedars (GoC)
Flag of Al-Tanzim.svg Al-TanzimFlag of the Lebanese Youth Movement.svg Lebanese Youth Movement (MKG) (until 1977)
Flag of the Tyous Team of Commandos.svg Tyous Team of Commandos (TTC) (until 1985)
Flag of Lebanon.svg Zahliote Group (ZG) (until 1978)
Flag of the Shuraya Party.svg Shuraya Party
Flag of Druze (version).svg Vanguard of the Maani Army (MDJ) (until 1978)
Other minor organizations
Lebanesearmyfirstflag.png Army of Free Lebanon (AFL) (1976–1978)
South Lebanon Army (SLA) (1977–1990)
Israel (1978–1990)","Lebanese National Resistance Front.jpg Lebanese National Resistance Front (1982–1990)
Flag of Mourabitoun.svg Al-Mourabitoun (INM)
Flag of the Progressive Socialist Party.svg Progressive Socialist Party (PSP)
Flag of the Lebanese Communist Party.svg Lebanese Communist Party (LCP)
Flag of the Syrian Social Nationalist Party.svg Syrian Social Nationalist Party in Lebanon (SSNP-L)
OCAL flag.jpg Communist Action Organization in Lebanon (OCAL)Palestine Lebanese Movement in Support of Fatah (LMSF)
Flag of the Ba'ath Party.svg Arab Socialist Ba'ath Party – Lebanon Region
Socialist red flag.svg Revolutionary Communist Group (RCG)
Palestine Sixth of February Movement (6th FM) (until 1986)
Flag of the Ba'ath Party.svg Socialist Arab Lebanon Vanguard Party (SALVP)
Flag of the Popular Nasserist Organization.svg Popular Nasserist Organization (PNO)
Flag of the Toilers League (Lebanon).svg Toilers League (WL)
Lebanesearmyfirstflag.png Lebanese Arab Army (LAA) (until 1977)
Other minor organizations
Flag of Lebanon (1943-1990).svg Lebanese National Movement (1975–1982)
PLO PLO (1975–1991)
Flag of ASALA.png ASALA (1975–1991)
----
Hezbollah (1982–1990)
Iran
(1982–1990, mainly IRGC and Army paramilitary units)
----
Tawheed flag.webp Islamic Unification Movement (1982–1990)","Syria Syria (1976, 1982–1991)
Flag of the Amal Movement.svg Amal Movement
Flag of Palestine.svg Palestinian National Salvation Front (PNSF)
Marada-flag.png Marada Brigade (from 1978)
Flag of the Lebanese Forces.svg Lebanese Forces – Executive Command (LFEC)","Flag of Kataeb Party.svg Bachir Gemayel
Flag of Kataeb Party.svg Amine Gemayel
Flag of Kataeb Party.svg William Hawi
Ahrar flag.gif Dany Chamoun
Flag of the Lebanese Forces.svg Elie Hobeika (until 1986)
Flag of the Lebanese Forces.svg Samir Geagea
Flag of the Guardians of the Cedars.svg Etienne Saqr
Flag of Al-Tanzim.svg Georges Adwan
Lebanesearmyfirstflag.png Saad Haddad #
Lebanesearmyfirstflag.png Antoine Lahad
Israel Menachem Begin
Israel Ariel Sharon
Israel Rafael Eitan
Israel Avigdor Ben-Gal","Flag of the Progressive Socialist Party.svg Kamal Jumblatt
Flag of the Progressive Socialist Party.svg Walid Jumblatt
Flag of the Syrian Social Nationalist Party.svg Inaam Raad
Flag of the Syrian Social Nationalist Party.svg Abdallah Saadeh
Flag of the Ba'ath Party.svg Assem Qanso
Flag of the Lebanese Communist Party.svg George Hawi
Flag of the Lebanese Communist Party.svg Elias Atallah
Socialist red flag.svg Muhsin Ibrahim
Flag of Mourabitoun.svg Ibrahim Kulaylat
Single_Color_Flag_-_0434B1.svg Ali Eid
PLO Yasser Arafat
PLO George Habash
PLO Nayef Hawatmeh
Flag of ASALA.png Hagop Hagopian
Flag of ASALA.png Monte Melkonian
----
Hezbollah Subhi al-Tufayli
Hezbollah Abbas al-Musawi
----
Tawheed flag.webp Said Shaaban","Syria Hafez al-Assad
Syria Mustafa Tlass
Syria Hikmat al-Shihabi
Syria Ali Aslan
Flag of the Amal Movement.svg Nabih Berri
Marada-flag.png Tony Frangieh
Marada-flag.png Robert Frangieh
Flag of the Lebanese Forces.svg Elie Hobeika (from 1986)",Unknown,Unknown,"Syria 25,000 troops (1976)",,,,,,,,,,,,war_conflict_article,0.83,battle categories | war/conflict title | war/conflict categories | biography categories,battle categories | war/conflict title | war/conflict categories | biography categories | fallback wikitext extraction,war_conflict,True,78753,1970s conflicts | 1970s in Lebanon | 1980s conflicts | 1980s in Lebanon | 1990s conflicts | 1990s in Lebanon | All Wikipedia articles written in British English with Oxford spelling | All articles needing additional references | All articles with specifically marked weasel-worded phrases | All articles with unsourced statements | Amal Movement | Armenian Secret Army for the Liberation of Armenia | Articles containing Arabic-language text | Articles needing additional references from April 2014 | Articles needing additional references from August 2020 | Articles needing additional references from July 2021 | Articles needing additional references from May 2022 | Articles needing additional references from October 2014 | Articles with short description | Articles with specifically marked weasel-worded phrases from October 2014 | Articles with unsourced statements from April 2010 | Articles with unsourced statements from April 2014 | Articles with unsourced statements from April 2023 | Articles with unsourced statements from August 2015 | CS1 Arabic-language sources (ar) | CS1 maint: archived copy as title | Civil wars involving the states and peoples of Asia | Civil wars of the 20th century | Commons category link from Wikidata | Ethnicity-based civil wars | History of the Palestine Liberation Organization | Iran–Israel proxy conflict | Islamic Revolutionary Guard Corps | Lebanese Civil War | Lebanese Front | Lebanese National Movement | Lebanese National Resistance Front | Pages using multiple image with auto scaled images | Proxy wars | Shia–Sunni sectarian violence | Short description is different from Wikidata | Syrian Social Nationalist Party | Use Oxford spelling from March 2022 | Use dmy dates from April 2019 | Wars involving Hezbollah | Wars involving Iran | Wars involving Israel | Wars involving Lebanon | Wars involving Syria | Webarchive template wayback links | Wikipedia extended-confirmed-protected pages,List of battles 1901–2000 | List of conflicts in Asia | List of modern conflicts in the Middle East | List of non-international armed conflicts | List of sieges | List of wars by death toll | List of wars: 1945–1989,List of battles 1901–2000 | List of conflicts in Asia | List of modern conflicts in the Middle East | List of non-international armed conflicts | List of sieges | List of wars by death toll | List of wars: 1945–1989,Lists of battles,battle_type_based | list_misc | period_based | war_conflict_based,1.0,recovery_mode=fallback_wikitext,generic_category_signal,removed_false_positive
battle_12036108,1976 Argentine coup d'état,1976 Argentine coup d'état,1976 Argentine coup d'état,https://en.wikipedia.org/wiki/1976_Argentine_coup_d%27%C3%A9tat,24 March 1976,1976-03-24,1976-03-24,1976.0,20.0,1.0,the Cold War in South America and the Dirty War,,"Casa Rosada , Buenos Aires","Casa Rosada , Buenos Aires",,,,Overthrow of Isabel Perón . Jorge Rafael Videla becomes President of Argentina .,Unknown,unknown,Argentine Government Justicialist Party,Argentine Armed Forces Army Navy Air Force,,Isabel Perón,Jorge Rafael Videla,,,,,,,,,,,,,,,,battle_article,1.0,battle categories | battle infobox structure,battle categories | battle infobox structure,land_battle,True,17143,CS1_maint:_work_parameter_with_ISBN | CS1_Spanish-language_sources_(es) | Webarchive_template_archiveis_links | Articles_with_short_description | Short_description_matches_Wikidata | Articles_needing_additional_references_from_March_2020 | All_articles_needing_additional_references | Use_dmy_dates_from_September_2022 | All_articles_with_unsourced_statements | Articles_with_unsourced_statements_from_December_2018 | Wikipedia_articles_needing_clarification_from_February_2024 | Articles_with_unsourced_statements_from_May_2023 | 1970s_coups_d'état | 1976_in_Argentina | Conflicts_in_1976 | March_1976_in_South_America | Military_coups_in_Argentina | National_Reorganization_Process,List of conflicts in South America,List of conflicts in South America,Lists of battles,war_conflict_based,1.0,,generic_category_signal,removed_false_positive
battle_56783547,Battle of Kaukaba,Battle of Kaukaba,Battle of Kaukaba,https://en.wikipedia.org/wiki/Battle_of_Kaukaba,9 May 1978,1978-05-09,1978-05-09,1978.0,20.0,1.0,Lebanese Civil War,,"Kaukaba, Southern Lebanon","Kaukaba, Southern Lebanon",,,,Norwegian victory,Victory,victory,Norway,PLO,,,,,,,,1 wounded,"1 dead, 1 wounded (Palestinian sources)
8 dead (Norwegian sources)",,,,,,1.0,1.0,1.0,8.0,battle_article,0.83,battle-like title | battle categories | campaign signals,battle-like title | battle categories | campaign signals | fallback wikitext extraction,land_battle,True,1376,1978 in Lebanon | 1978 in Norway | All articles needing coordinates | All stub articles | Articles missing coordinates without coordinates on Wikidata | Articles with short description | Battles in 1978 | Battles involving Norway | Battles of the Lebanese Civil War | CS1 Norwegian Bokmål-language sources (nb) | Lebanon articles missing geocoordinate data | Lebanon–Norway relations | May 1978 in Asia | Military operations involving the Palestine Liberation Organization | Norway and the United Nations | Norway stubs | Norway–Palestine relations | Short description is different from Wikidata,List of battles 1901–2000,List of battles 1901–2000,Lists of battles,list_misc,0.8,recovery_mode=fallback_wikitext,generic_category_signal,removed_false_positive
battle_5625186,Chadian–Libyan War,Chadian–Libyan War,Chadian–Libyan War,https://en.wikipedia.org/wiki/Chadian%E2%80%93Libyan_War,29 January 1978 – 11 September 1987 (),1978-01-29,1987-09-11,1978.0,20.0,1.0,the Cold War and the Arab Cold War,,Chad,Chad,,,,Chadian and French victory,Victory,victory,"Chad Anti-Libyan Chadian factions
FAT (1978–1979)
FAN (1978–1983)
FANT (1983–1987)
GUNT (1986–1987)
France
Inter-African Force
Zaire
Nigeria
Senegal
Flag of the National Front for the Salvation of Libya.svg NFSL","Libyan Arab Jamahiriya Libya
Islamic Legion
Chad Pro-Libyan Chadian factions
Flag of Frolinat.svg FROLINAT
GUNT (1979–1986)
Codos (1983–1986)
FAP (1978–1986)
Pro-Libyan Palestinian and Lebanese groupsSeale 1992
Palestine Liberation Organization (1987)
Abu Nidal OrganizationSeale 1992",,"Chad Hissène Habré
Chad Hassan Djamous
Chad Idriss Déby
France V. Giscard d'Estaing
France François Mitterrand
Flag of the National Front for the Salvation of Libya.svg Mohammed Magariaf","Libya Muammar Gaddafi
Libya Massoud Abdelhafid
Libya Khalifa Haftar
Libya Abdullah Senussi
Libya Ahmed Oun
Libya Abu-Bakr Yunis Jabr
Libya Abdel Fatah Younis
Libya Radwan Saleh Radwan
Flag of Frolinat.svg Goukouni Oueddei
PLO Mahmoud A. Marzouq",,,,,,,,,,,,,,,,war_conflict_article,0.83,battle categories | war/conflict title | war/conflict categories,battle categories | war/conflict title | war/conflict categories | fallback wikitext extraction,war_conflict,True,47097,1970s conflicts | 1978 in Chad | 1978 in Libya | 1979 in Chad | 1979 in Libya | 1980 in Chad | 1980 in Libya | 1980s conflicts | 1981 in Chad | 1981 in Libya | 1982 in Chad | 1982 in Libya | 1983 in Chad | 1983 in Libya | 1984 in Chad | 1984 in Libya | 1985 in Chad | 1985 in Libya | 1986 in Chad | 1986 in Libya | 1987 in Chad | 1987 in Libya | Articles with short description | Chadian–Libyan War | Chad–France relations | Chad–Libya military relations | Chad–Nigeria relations | Chad–Palestine relations | Chad–Senegal relations | Civil wars in Chad | Cold War in Africa | Cold War military history of France | France–Libya military relations | France–Nigeria relations | France–Palestine relations | France–Senegal relations | Good articles | History of Libya under Muammar Gaddafi | Libya–Nigeria relations | Libya–Palestine relations | Nigeria–Palestine relations | Palestine–Senegal relations | Proxy wars | Short description matches Wikidata | Use dmy dates from October 2025 | Wars involving France | Wars involving Libya | Wars involving Nigeria | Wars involving Senegal | Wars involving Zaire | Wars involving the Palestine Liberation Organization,List of conflicts in Africa | List of modern conflicts in North Africa,List of conflicts in Africa | List of modern conflicts in North Africa,Lists of battles,period_based | war_conflict_based,1.0,recovery_mode=fallback_wikitext,generic_category_signal,removed_false_positive
